condition1A	condition1B	condition1C	condition2A	condition2B	condition2C	condition3A	condition3B	condition3C	condition4A	condition4B	condition4C	condition5	condition6
gene0274	0	0	0	0	0	0	0	0	0	0	0	0	58	22
gene0275	37	53	32	44	43	43	82	105	106	43	52	45	2	3
gene0276	0	0	0	0	0	0	0	0	0	0	0	0	23	3
gene0277	0	2	0	9	14	7	7	6	14	2	3	1	2	209
gene0278	0	0	0	0	0	0	0	0	0	0	0	0	3	33
gene0279	25	28	18	49	57	46	72	153	99	77	114	191	3	6
gene0280	0	1	1	1	0	1	0	0	0	0	0	1	1	15
gene0281	0	0	0	0	0	0	0	0	0	0	0	0	32	13
gene0282	0	0	0	0	0	0	0	0	0	0	0	0	25	4
gene0283	0	0	0	0	0	0	0	0	0	0	0	0	109	28
gene0284	0	0	0	0	0	0	0	0	0	0	0	0	1	28
gene0285	0	0	0	14	2	1	11	7	5	8	2	5	2	5
gene0286	1	2	1	2	4	4	4	18	8	22	19	47	1	1
gene0287	0	0	0	0	0	0	0	0	1	0	0	0	1	358
gene0288	0	0	0	1	0	0	2	2	1	3	1	2	13	1
gene0289	29	63	62	23	30	16	1	1	2	2	2	1	6	6
gene0290	17	26	37	31	61	25	86	85	78	174	187	169	56	32
gene0291	0	0	0	0	0	0	0	0	0	0	0	0	221	533
gene0292	183	86	54	67	62	43	45	38	36	25	29	33	60	463
gene0293	11	6	15	3	1	4	5	3	4	8	6	3	9	4
gene0294	0	0	0	0	0	0	0	0	0	0	0	0	41	21
gene0295	0	0	0	0	0	0	0	0	0	0	0	0	43	16
gene0296	58	57	76	21	4	14	56	20	13	19	9	7	494	166
gene0297	0	0	0	0	0	0	0	0	0	0	0	0	10	0
gene0298	0	0	0	0	0	0	0	0	0	0	0	0	0	12
gene0299	0	1	0	1	5	2	1	1	1	1	1	2	300	69
gene0300	4	20	12	9	35	8	100	122	57	227	353	53	12	1
gene0301	0	0	0	0	0	0	0	0	0	0	0	0	6	173
gene0302	0	0	0	0	0	0	0	0	0	0	0	0	5	22
gene0303	0	0	0	0	0	0	0	0	0	0	0	0	57	13
gene0304	16	9	18	12	4	9	11	17	15	12	13	12	4	19
gene0305	0	0	0	0	0	0	0	0	0	0	0	0	23	4
gene0306	1	1	2	3	3	4	27	75	22	146	143	185	7	3
gene0307	0	0	3	37	52	46	20	40	74	109	45	226	8	0
gene0308	6	11	10	3	4	7	0	0	0	0	0	0	48	2
gene0309	1	4	0	18	44	20	3	8	5	14	16	16	0	0
gene0310	0	0	0	5	3	4	5	7	6	19	16	27	2	0
gene0311	0	0	0	0	0	0	0	0	0	0	0	0	63	8
gene0312	0	0	0	0	0	0	0	0	0	0	0	0	18	3
gene0313	4	5	8	8	4	9	38	31	27	75	39	58	10	40
gene0314	0	0	0	0	0	0	0	0	0	0	0	0	14	46
gene0315	0	0	0	0	0	0	0	0	0	0	0	0	0	32
gene0316	0	0	0	0	0	0	0	0	0	0	0	0	2	51
gene0317	0	0	0	0	0	0	0	0	0	0	0	0	4	25
gene0318	0	0	0	0	0	0	0	0	0	0	0	0	60	3
gene0319	1	2	2	2	1	2	2	1	1	8	2	15	17	135
