condition1A	condition1B	condition1C	condition2A	condition2B	condition2C	condition3A	condition3B	condition3C	condition4A	condition4B	condition4C	condition5	condition6
gene2511	2	0	2	14	19	11	0	0	0	0	0	0	0	0
gene2512	0	0	0	0	0	0	0	0	0	0	0	0	22	7
gene2513	5	3	4	4	2	3	1	1	1	1	1	0	7	68
gene2514	9	7	10	5	4	6	12	7	9	6	4	4	9	108
gene2515	0	0	0	0	0	0	0	0	0	0	0	0	1	94
gene2516	2	3	1	7	6	3	9	15	10	29	38	25	11	8
gene2517	11	7	14	3	0	3	6	2	1	4	2	2	2	2
gene2518	0	2	3	1	0	3	0	0	0	0	0	0	51	0
gene2519	0	0	0	0	0	0	0	0	0	0	0	0	118	37
gene2520	0	0	0	0	0	0	0	0	0	0	0	0	36	18
gene2521	32	4	4	6	1	2	5	3	0	3	1	0	0	0
gene2522	1	9	1	12	132	27	1	0	2	3	3	2	0	1
gene2523	26	13	20	12	11	11	31	25	30	17	15	14	42	8
gene2524	112	39	45	32	29	19	3	4	5	3	4	2	4	3
gene2525	9	7	7	10	11	10	23	32	26	25	25	19	2	45
gene2526	0	0	0	0	0	0	0	0	0	0	0	0	6	20
gene2527	0	1	0	2	3	2	1	1	1	1	1	2	18	42
gene2528	0	0	0	0	0	0	0	0	0	0	0	0	4	31
gene2529	0	0	0	0	0	0	0	0	0	0	0	0	2	89
gene2530	7	35	23	85	165	95	74	81	51	223	226	136	7	0
gene2531	0	0	0	0	0	0	0	0	0	0	0	0	4	33
gene2532	0	0	0	0	0	0	0	0	0	0	0	0	19	3
gene2533	0	0	0	0	0	0	0	0	0	0	0	0	5	44
gene2534	4	21	197	55	63	135	238	516	638	315	571	383	27	2
gene2535	0	0	0	2	0	1	4	3	1	2	1	1	10	0
gene2536	17	8	5	28	9	5	6	7	5	7	8	5	191	28
gene2537	0	0	0	0	0	0	0	0	0	0	0	0	75	35
gene2538	0	0	0	0	0	0	0	0	0	0	0	0	6	47
gene2539	0	0	0	0	0	0	0	0	0	0	0	0	139	32
gene2540	0	0	0	0	0	0	0	0	0	0	0	0	2	431
gene2541	0	0	0	1	0	0	0	0	0	0	0	0	6	20
gene2542	0	0	0	0	0	0	0	0	0	0	0	0	20	6
gene2543	1	3	0	9	11	4	12	16	16	68	94	62	121	128
gene2544	0	0	1	0	0	0	1	1	1	1	0	1	0	14
gene2545	40	21	25	13	6	15	12	12	7	11	6	8	7	5
gene2546	0	0	0	0	0	0	0	0	0	0	0	0	4	19
gene2547	2	2	2	1	0	1	3	1	1	1	0	0	271	67
gene2548	6	5	6	22	7	6	8	14	13	15	20	36	31	7
gene2549	0	0	0	0	0	0	0	0	0	0	0	0	171	76
gene2550	0	0	0	0	0	0	0	0	0	0	0	0	253	71
gene2551	0	0	0	0	0	0	0	0	0	0	0	0	11	31
gene2552	0	0	0	0	0	0	0	0	0	0	0	0	29	12
gene2553	1	4	2	0	0	1	4	3	5	3	2	5	392	136
gene2554	0	0	0	0	0	0	15	2	1	2	1	0	0	0
gene2555	0	0	0	0	0	0	0	0	0	0	0	0	0	18
gene2556	0	0	0	0	0	0	0	0	0	0	0	0	19	75
gene2557	0	1	0	0	1	1	1	1	1	1	2	2	60	9
gene2558	20	31	32	24	17	27	23	24	17	13	9	8	38	38
gene2559	0	0	0	1	0	1	0	0	0	0	0	0	22	116
gene2560	7	8	7	1	0	1	2	2	1	3	1	1	0	0
gene2561	5	7	10	1	1	2	0	0	0	0	0	0	1	0
gene2562	3	15	5	8	28	15	10	6	5	4	0	15	114	12
gene2563	0	0	0	0	0	0	0	0	0	0	0	0	261	93
gene2564	0	0	0	0	0	0	0	0	0	0	0	0	1	19
gene2565	0	0	0	0	0	0	0	0	0	0	0	0	1	108
gene2566	0	0	1	0	0	0	6	9	9	27	25	21	0	1
gene2567	0	0	2	1	0	1	15	1	4	56	4	14	1	2
gene2568	9	13	9	11	13	8	11	13	12	8	8	6	26	8
gene2569	7	9	5	20	17	15	14	18	15	93	80	99	50	6
gene2570	20	12	20	10	9	8	6	8	7	5	12	3	12	45
gene2571	0	0	0	0	0	0	0	0	0	0	0	0	7	64
gene2572	29	28	37	18	15	25	84	88	67	60	109	26	17	2
gene2573	0	0	0	0	0	0	0	0	0	0	0	0	1	20
gene2574	0	0	0	0	0	0	0	0	0	0	0	0	46	3
gene2575	6	6	7	10	6	10	20	26	42	17	15	15	7	1
gene2576	0	0	0	0	0	0	0	0	0	0	0	0	22	5
gene2577	0	0	0	0	0	0	0	0	0	0	0	0	49	22
gene2578	3	18	9	2	0	13	28	12	11	13	3	2	50	26
gene2579	9	50	1	45	102	69	3	1	2	4	33	4	1	0
gene2580	0	0	0	0	0	0	0	0	0	0	0	0	35	93
gene2581	0	0	0	2	4	2	10	31	40	7	9	5	1	0
gene2582	0	0	0	0	0	0	0	0	0	0	0	0	110	235
gene2583	628	616	300	389	488	353	910	554	699	263	191	342	509	351
gene2584	8	24	14	24	88	38	58	62	96	101	99	122	2	2
gene2585	0	1	2	1	1	2	24	19	19	127	68	96	9	0
gene2586	0	0	0	0	0	0	0	0	0	0	0	0	192	65
gene2587	0	0	0	0	0	0	0	0	0	0	0	0	18	3
gene2588	0	0	0	5	11	3	0	0	0	0	0	0	0	0
gene2589	4	10	1	25	30	11	13	26	14	51	110	53	1	0
gene2590	0	0	0	0	0	0	0	0	0	0	0	0	135	56
gene2591	7	26	27	11	9	20	26	12	42	11	2	5	7	5
gene2592	0	0	0	0	0	0	0	0	0	0	0	0	36	114
gene2593	0	0	0	0	0	0	0	0	0	0	0	0	7	42
gene2594	0	1	1	6	18	5	19	29	31	49	74	68	0	0
gene2595	0	0	0	0	0	0	0	0	0	0	0	0	140	51
gene2596	0	0	0	0	0	0	0	0	0	0	0	0	13	60
gene2597	1	1	0	6	7	5	3	6	6	4	7	14	3	0
gene2598	0	0	0	0	0	0	0	0	0	0	0	0	284	5
gene2599	0	0	0	0	0	0	0	0	0	0	0	0	4	94
gene2600	0	0	0	0	0	0	3	2	2	3	1	4	272	51
gene2601	13	8	12	14	1	6	12	9	14	5	3	5	6	1
gene2602	11	12	8	10	7	5	4	5	5	25	12	28	9	4
gene2603	0	0	0	0	1	0	0	1	0	0	0	0	427	97
gene2604	0	0	0	0	0	0	0	0	0	0	0	0	15	0
gene2605	0	0	0	0	0	0	0	0	0	0	0	0	83	13
gene2606	14	12	12	14	11	12	10	13	10	21	24	33	3	4
gene2607	38	23	26	15	15	17	5	3	3	4	2	2	21	3
gene2608	600	738	847	405	497	267	8	3	3	15	5	4	9	56
gene2609	0	0	0	0	0	0	0	0	0	0	0	0	6	25
gene2610	3	14	3	12	32	12	10	13	23	39	37	61	44	46
gene2611	1	0	0	6	3	5	0	0	0	0	0	0	8	2
gene2612	0	0	0	0	0	0	0	0	0	0	0	0	10	66
gene2613	0	0	0	0	0	0	0	0	0	0	0	0	829	308
gene2614	0	0	0	0	0	0	0	0	0	0	0	0	338	55
gene2615	0	0	0	0	0	0	0	0	0	0	0	0	11	50
gene2616	0	0	0	0	0	0	0	0	0	0	0	0	26	10
gene2617	0	0	0	0	0	0	0	0	0	0	0	0	18	4
gene2618	1	1	1	1	0	0	6	3	1	4	1	2	10	42
gene2619	0	0	0	0	0	0	0	0	0	0	0	0	19	53
gene2620	51	27	23	13	7	13	0	0	0	0	0	0	1	3
gene2621	0	0	0	0	0	0	0	0	0	0	0	0	5	37
gene2622	1	4	1	7	30	9	7	22	11	31	43	71	2	1
gene2623	4	1	12	13	1	12	44	24	3	39	7	4	17	1
gene2624	0	0	0	0	0	0	4	2	2	4	2	1	206	14
gene2625	0	0	0	0	0	0	0	0	0	0	0	0	7	24
gene2626	0	0	0	0	0	0	1	1	2	47	81	62	0	0
gene2627	10	8	9	7	6	5	23	31	26	94	85	97	16	21
gene2628	1	4	6	0	0	1	1	0	0	1	1	0	53	4
gene2629	3	11	2	15	31	22	12	22	42	30	48	35	0	2
gene2630	0	0	0	0	0	0	0	0	0	0	0	0	18	50
gene2631	1	2	1	5	8	5	3	6	4	9	19	15	4	3
gene2632	0	0	0	0	0	0	0	0	0	0	0	0	26	7
gene2633	1	2	1	6	8	3	1	2	1	5	6	8	1	0
gene2634	0	0	0	0	0	0	0	0	0	0	0	0	9	38
gene2635	4	7	6	8	18	11	6	8	8	5	5	5	1	1
gene2636	5	12	12	10	19	8	9	8	9	23	22	28	10	8
gene2637	0	0	0	0	0	0	0	0	0	0	0	0	6	105
gene2638	0	0	0	0	0	0	0	0	0	0	0	0	1	30
gene2639	0	0	0	0	1	0	0	0	0	0	0	0	34	5
gene2640	0	0	0	0	0	0	0	0	0	0	0	0	15	3
gene2641	0	0	0	0	0	0	0	0	0	0	0	0	38	10
gene2642	3	9	6	10	12	13	23	29	46	68	56	106	7	6
gene2643	0	0	0	0	0	0	0	0	0	0	0	0	153	76
gene2644	21	22	25	12	17	18	33	33	40	30	29	30	116	45
gene2645	0	0	0	0	0	0	0	0	0	0	0	0	4	19
gene2646	0	0	0	0	0	0	0	0	0	0	0	0	15	50
gene2647	8	14	7	18	46	20	27	38	47	132	98	103	23	22
gene2648	15	22	9	42	36	26	13	19	16	10	10	17	1	10
gene2649	15	9	10	12	16	11	3	2	3	3	1	2	85	16
gene2650	0	0	0	0	0	0	0	0	0	0	0	0	32	7
gene2651	0	0	0	0	0	0	0	0	0	0	0	0	21	7
gene2652	0	0	0	0	0	0	0	0	0	0	0	0	0	31
gene2653	0	0	0	0	0	2	29	59	28	111	415	46	1	0
gene2654	0	1	0	1	1	0	7	11	8	8	13	2	27	1
gene2655	0	0	0	0	0	0	0	0	0	0	0	0	16	329
gene2656	32	26	35	10	14	20	6	6	4	5	5	4	6	31
gene2657	2	3	5	8	6	5	9	22	16	33	39	40	11	3
gene2658	0	0	0	0	0	0	0	0	0	0	0	0	10	0
gene2659	4	21	6	4	0	2	5	3	1	5	2	3	0	0
gene2660	0	0	0	0	0	0	0	0	0	0	0	0	6	34
gene2661	0	0	0	1	0	0	2	3	4	2	4	3	0	11
gene2662	0	0	0	0	0	0	0	0	0	0	0	0	3	63
gene2663	0	0	2	22	25	54	37	83	52	98	78	265	12	1
gene2664	0	0	0	7	18	7	5	18	10	16	25	41	1	1
gene2665	0	0	0	0	0	0	0	0	0	0	0	0	64	30
gene2666	0	0	0	0	0	0	0	0	0	0	0	0	3	15
gene2667	1	2	1	0	0	0	1	1	0	2	0	0	57	22
gene2668	0	0	0	0	0	0	0	0	0	0	0	0	1763	272
gene2669	0	0	0	0	0	0	0	0	0	0	0	0	2	24
gene2670	0	0	0	0	0	0	0	0	0	0	0	0	99	0
gene2671	24	16	25	26	16	25	26	30	30	46	84	59	7	8
gene2672	15	6	21	7	2	4	2	1	4	9	1	8	2	1
gene2673	0	0	0	0	0	0	0	0	0	0	0	0	29	57
gene2674	1	1	2	1	1	1	2	2	2	13	5	16	4	2
gene2675	4	3	5	5	4	3	6	7	4	22	19	19	8	3
gene2676	0	0	1	1	0	0	0	0	0	0	0	0	0	14
gene2677	0	0	0	0	0	0	0	0	0	0	0	0	123	29
gene2678	4	6	11	3	1	5	10	8	6	6	3	5	23	6
gene2679	0	0	0	3	1	2	19	18	19	11	5	13	4	2
gene2680	0	0	0	0	0	0	0	0	0	0	0	0	4	281
gene2681	0	0	0	0	0	0	0	0	0	0	0	0	41	21
gene2682	0	0	0	0	0	0	0	0	0	0	1	0	1	13
gene2683	0	0	0	0	0	0	0	0	0	0	0	0	5	33
gene2684	0	0	0	0	0	0	0	0	0	0	0	0	9	30
gene2685	5	5	11	2	0	3	4	4	3	4	3	1	39	18
gene2686	0	0	0	3	4	0	1	3	2	41	62	147	0	0
gene2687	14	25	32	8	6	27	10	6	8	3	2	3	48	5
gene2688	0	0	0	0	0	0	0	0	0	0	0	0	59	13
gene2689	1	0	0	5	14	1	0	0	0	0	0	0	0	0
gene2690	0	0	0	0	0	0	0	0	0	0	0	0	9	29
gene2691	5	8	8	4	5	8	13	18	15	8	14	9	101	32
gene2692	0	0	0	0	0	0	0	0	0	0	0	0	10	93
gene2693	5	4	4	3	3	3	10	8	8	5	6	3	8	26
gene2694	1950	1141	1674	506	123	487	27	15	29	16	10	15	2	1
gene2695	0	0	0	0	0	0	0	0	0	0	0	0	3	37
gene2696	28	41	38	31	41	40	48	64	82	31	35	30	0	0
gene2697	23	17	15	70	38	54	266	518	359	263	375	263	25	42
gene2698	0	0	0	0	0	0	0	0	0	0	0	0	24	92
gene2699	0	0	0	0	0	0	0	0	0	0	0	0	2051	533
gene2700	0	0	0	0	0	0	0	0	0	0	0	0	100	4
gene2701	0	0	0	0	0	0	0	0	0	0	0	0	0	13
gene2702	3	9	3	24	39	15	19	44	38	87	77	90	5	2
gene2703	0	0	0	0	0	0	0	0	0	0	0	0	6	112
gene2704	0	0	0	0	0	0	0	0	0	0	0	0	6	30
gene2705	4	7	9	6	0	3	49	21	15	22	11	10	41	12
gene2706	0	0	0	0	0	0	0	0	0	0	0	0	36	14
gene2707	0	0	0	0	0	0	0	0	0	0	0	0	133	73
gene2708	0	0	0	0	0	0	0	0	0	0	0	0	27	5
gene2709	0	0	0	0	0	0	0	0	0	0	0	0	1	18
gene2710	5	13	4	14	37	7	12	13	14	19	60	12	0	0
gene2711	148	164	466	143	60	180	206	299	251	143	129	138	120	20
gene2712	0	0	0	0	0	0	0	0	0	0	0	0	44	19
gene2713	12	19	15	86	59	36	67	74	104	387	340	407	591	263
gene2714	0	0	0	0	0	0	0	0	0	0	0	0	1	69
gene2715	0	0	0	1	0	0	0	0	0	0	0	0	2240	14
gene2716	0	0	0	0	0	0	0	0	0	0	0	0	2	21
gene2717	1	0	0	0	0	0	0	0	0	0	0	0	25	9
gene2718	0	0	0	0	0	0	0	0	0	0	0	0	8	0
gene2719	2	2	2	3	2	2	2	4	3	6	7	6	44	16
gene2720	3	4	2	13	19	7	38	80	41	146	225	205	1	1
gene2721	0	0	0	0	0	0	0	0	0	0	0	0	3	15
gene2722	1	1	1	2	5	2	1	2	2	7	9	10	0	0
gene2723	0	0	0	0	0	0	0	0	0	0	0	0	57	22
gene2724	5	4	2	5	4	3	2	1	2	2	3	1	12	34
gene2725	1	2	5	9	9	9	62	58	128	636	763	461	2	11
gene2726	8	9	8	9	8	7	0	0	0	0	0	0	3	16
gene2727	13	18	28	13	16	20	28	27	28	22	25	19	10	44
gene2728	0	0	0	0	0	0	0	0	0	0	0	0	26	57
gene2729	2	1	1	2	2	1	1	1	2	1	1	1	171	5
gene2730	121	50	27	40	42	24	147	120	96	80	85	75	122	44
gene2731	0	0	0	0	0	0	0	0	0	0	0	0	5	55
gene2732	1014	1129	579	464	920	690	46	13	9	9	18	14	17	72
gene2733	1	1	1	1	1	1	2	2	2	1	1	1	7	56
gene2734	176	169	198	97	82	107	106	92	117	49	56	43	8	6
gene2735	0	0	0	0	0	0	0	0	0	0	0	0	56	21
gene2736	0	1	1	0	0	0	0	0	0	0	0	0	188	25
gene2737	0	0	0	0	0	0	0	0	0	0	0	0	48	22
gene2738	0	0	0	0	0	0	0	0	0	0	0	0	34	80
gene2739	7	10	5	25	74	23	34	63	35	59	152	24	2	1
gene2740	0	0	0	0	0	0	0	0	0	0	0	0	0	17
gene2741	13	13	17	2	0	6	2	1	1	1	0	1	2	0
gene2742	6	16	10	13	16	17	25	27	29	71	99	76	80	51
gene2743	0	0	0	1	0	0	0	0	0	0	1	0	10	1
gene2744	0	0	0	0	0	0	0	0	0	0	0	0	7	30
gene2745	23	16	18	11	9	10	25	25	21	14	14	8	0	0
gene2746	5	8	8	32	40	20	267	605	584	489	1622	757	157	55
gene2747	0	0	0	0	0	0	0	0	0	0	0	0	163	37
gene2748	92	67	41	17	14	43	2	1	1	1	1	1	1	50
gene2749	32	24	37	16	12	16	5	4	3	4	3	2	81	13
gene2750	44	85	133	58	75	100	106	94	123	120	133	84	376	119
gene2751	0	0	0	0	0	0	0	0	0	0	0	0	10	39
gene2752	0	0	0	0	0	0	0	0	0	0	0	0	8	166
gene2753	4	11	7	18	29	6	27	32	48	43	41	26	23	7
gene2754	0	0	0	1	0	0	0	0	0	0	0	0	468	176
gene2755	1	2	3	6	3	10	8	16	11	166	112	541	43	12
gene2756	0	0	0	0	0	0	0	0	0	0	0	0	83	47
gene2757	17	37	29	21	24	34	31	29	35	30	20	35	150	31
gene2758	0	0	0	0	0	0	0	0	0	0	0	0	30	1
gene2759	0	1	0	2	3	1	0	0	0	0	0	0	18	4
gene2760	14	14	9	23	13	7	24	23	19	16	9	8	3	1
gene2761	0	0	0	0	0	0	0	0	0	0	0	0	104	57
gene2762	0	1	0	20	52	8	16	31	57	37	73	80	5	2
gene2763	21	29	14	20	52	11	69	39	50	18	18	23	7	4
gene2764	0	0	0	0	0	0	0	0	0	0	0	0	81	47
gene2765	0	0	0	0	0	0	0	0	0	0	0	0	7	27
gene2766	0	0	0	0	0	0	0	0	0	1	1	1	87	13
gene2767	0	0	0	0	0	0	0	0	0	0	0	0	10	1
gene2768	0	0	0	0	0	0	0	0	0	0	0	0	2	16
gene2769	0	0	0	0	0	0	0	0	0	0	0	0	4	40
gene2770	0	0	0	0	0	0	0	0	0	0	0	0	5	49
gene2771	0	0	0	0	0	0	0	0	0	0	0	0	0	57
gene2772	1	0	0	4	0	1	0	0	0	0	0	0	27	7
gene2773	0	0	0	0	0	0	0	0	0	0	0	0	51	26
gene2774	5	5	4	5	6	5	6	7	6	6	6	7	7	23
gene2775	0	0	0	0	0	0	0	0	0	0	0	0	74	45
gene2776	0	0	0	0	0	0	0	0	0	0	0	0	0	10
gene2777	0	0	0	0	0	0	0	0	0	0	0	0	4	29
gene2778	13	24	7	29	27	35	4	3	4	3	1	2	6	16
gene2779	13	8	15	3	3	6	3	2	4	2	3	2	1	42
gene2780	0	93	23	24	192	555	481	1178	1345	1112	1321	1843	88	191
gene2781	1	12	2	4	14	15	7	6	6	15	8	21	8	36
gene2782	0	0	0	0	0	0	0	0	0	0	0	0	24	93
gene2783	0	0	0	0	0	0	0	0	0	0	0	0	3	69
gene2784	31	28	28	11	8	14	5	9	5	5	5	5	0	1
gene2785	4	15	6	25	64	12	83	114	150	486	860	442	31	17
gene2786	5	5	6	5	4	5	6	5	6	4	4	3	5	41
gene2787	2	3	2	30	108	29	104	89	224	260	272	292	14	5
gene2788	0	0	0	0	1	0	0	0	0	0	0	0	5	27
gene2789	75	116	371	50	94	55	31	20	13	26	15	11	155	212
gene2790	0	0	0	0	0	0	0	0	0	0	0	0	5	23
gene2791	0	0	0	0	0	0	0	0	0	0	0	0	0	26
gene2792	5	4	3	3	2	2	1	3	2	2	1	1	23	94
gene2793	5	3	9	3	1	1	4	2	4	6	3	4	16	2
gene2794	25	40	80	28	15	49	25	22	35	13	10	10	110	28
gene2795	0	0	0	0	0	0	0	0	0	0	0	0	167	40
gene2796	0	1	1	1	0	1	1	1	1	1	2	1	95	55
gene2797	0	0	0	0	0	0	0	0	0	0	0	0	30	13
gene2798	0	0	0	0	0	0	0	0	0	0	0	0	8	0
gene2799	0	0	0	0	0	0	0	0	0	0	0	0	71	44
gene2800	0	0	0	0	0	0	0	0	0	0	0	0	7	796
gene2801	0	0	0	0	0	0	0	0	0	0	0	0	146	75
gene2802	0	0	0	0	0	0	0	0	0	0	0	0	2	219
gene2803	0	0	0	0	0	0	0	0	0	0	0	0	13	0
gene2804	0	0	0	0	0	0	0	0	0	0	0	0	4	17
gene2805	11	10	38	7	1	7	1	1	2	3	0	1	48	4
gene2806	0	0	0	0	0	0	0	0	0	0	0	0	6	69
gene2807	0	0	0	0	0	0	0	0	0	0	0	0	0	18
gene2808	3	4	6	3	3	7	14	9	10	9	7	8	450	201
gene2809	5	5	9	4	4	7	21	16	18	9	7	5	6	3
gene2810	10	18	10	4	1	4	3	2	2	3	1	1	56	36
gene2811	28	62	65	38	39	76	62	47	92	27	28	17	3	9
gene2812	0	0	0	0	0	0	0	0	0	0	0	0	459	117
gene2813	18	7	16	4	3	6	12	7	5	5	4	3	0	0
gene2814	13	10	24	5	6	10	13	8	10	11	6	6	3	17
gene2815	0	0	0	0	0	0	1	1	1	1	1	0	3	951
gene2816	12	13	12	14	17	10	18	28	30	14	16	10	1	1
gene2817	1	1	2	2	1	2	2	3	2	2	2	2	2	16
gene2818	6	5	6	3	4	4	5	5	7	4	5	5	48	24
gene2819	1	3	1	13	20	7	9	15	10	14	20	23	43	7
gene2820	0	0	0	0	0	0	0	0	0	0	1	0	26	4
gene2821	0	0	0	1	0	0	0	0	0	0	0	0	1	65
gene2822	0	0	0	0	0	0	0	0	0	0	0	0	11	0
gene2823	0	1	0	0	1	0	0	0	0	1	0	0	9	92
gene2824	0	0	1	1	0	3	8	8	5	7	5	3	15	1
gene2825	3	3	2	2	1	1	3	1	3	1	1	1	15	44
gene2826	0	0	0	0	0	0	0	0	0	0	0	0	6	26
gene2827	0	2	0	6	13	4	19	43	28	82	158	67	0	0
gene2828	0	0	0	1	4	1	0	0	1	19	7	34	0	1
gene2829	0	0	0	0	0	0	0	0	0	0	0	0	333	117
gene2830	3	4	3	6	4	4	6	7	5	5	4	6	2	24
gene2831	0	0	0	0	0	0	0	0	0	0	0	0	19	4
gene2832	0	0	0	0	0	0	0	0	0	0	0	0	21	48
gene2833	2	2	3	1	1	1	4	3	2	3	1	2	7	45
gene2834	0	0	0	0	0	0	0	0	0	0	0	0	27	7
gene2835	0	0	0	0	0	0	0	0	0	0	0	0	42	3
gene2836	0	0	0	0	0	0	0	0	0	0	0	0	42	8
gene2837	0	0	0	0	0	0	0	0	0	0	0	0	243	110
gene2838	2	2	3	1	1	2	1	1	1	0	1	1	21	92
gene2839	1	4	1	17	23	15	6	10	11	5	11	13	1	2
gene2840	0	0	0	0	0	0	0	0	0	0	0	0	0	13
gene2841	12	10	7	8	8	6	12	12	16	6	6	4	1	11
gene2842	0	0	0	0	0	0	0	0	0	0	0	0	33	9
gene2843	51	78	34	42	102	32	194	106	137	48	44	61	32	29
gene2844	0	0	0	0	0	0	0	0	0	0	0	0	3	88
gene2845	0	0	0	0	0	1	1	2	3	3	2	11	13	1
gene2846	0	0	0	2	2	3	0	2	0	12	8	12	0	0
gene2847	0	0	0	0	0	0	0	0	0	0	0	0	0	24
gene2848	0	0	0	0	0	1	8	8	9	3	2	3	1	14
gene2849	0	0	0	2	4	2	1	5	2	7	13	14	17	3
gene2850	561	448	642	92	44	218	247	146	146	120	170	30	2	5
gene2851	3	2	7	3	1	4	3	1	1	1	0	1	16	3
gene2852	0	0	0	0	0	0	0	0	0	0	0	0	41	0
gene2853	1	2	3	3	14	5	1	3	4	7	11	56	2	12
gene2854	0	0	0	0	0	0	0	0	0	0	0	0	11	44
gene2855	0	0	0	0	0	0	0	0	0	0	0	0	67	31
gene2856	0	0	0	0	0	0	0	0	0	0	0	0	3	20
gene2857	4	1	10	2	1	6	7	6	7	4	1	3	73	13
gene2858	76	13	37	14	3	15	3	1	1	0	0	0	0	0
gene2859	0	0	0	0	0	0	0	0	0	0	0	0	55	29
gene2860	0	0	0	0	0	0	0	0	0	0	0	0	87	24
gene2861	0	0	0	0	1	0	1	2	2	19	14	20	7	14
gene2862	22	23	37	7	6	10	1	2	1	1	0	1	8	8
gene2863	0	0	0	0	0	0	0	0	0	0	0	0	5	25
gene2864	0	0	0	0	0	0	0	0	0	0	0	0	35	14
gene2865	1	0	0	3	7	3	4	11	6	16	12	20	1	1
gene2866	0	0	0	0	0	0	0	0	0	0	0	0	31	13
gene2867	22	26	21	14	26	19	5	5	4	5	10	10	10	82
gene2868	7	10	5	19	12	13	5	13	6	14	18	21	0	0
gene2869	14	21	29	60	53	39	329	356	200	342	290	249	259	39
gene2870	9	11	11	39	32	27	16	23	16	16	13	18	13	1
gene2871	22	78	52	12	24	99	175	136	139	392	559	76	11	0
gene2872	0	0	0	0	0	0	0	0	0	0	0	0	18	4
gene2873	0	0	0	0	0	0	0	0	0	0	0	0	56	27
gene2874	0	2	2	10	3	4	0	0	0	0	0	0	0	1
gene2875	55	57	46	23	15	31	19	11	14	15	10	6	1	26
gene2876	3	4	3	1	1	2	1	1	2	1	2	0	9	136
gene2877	0	0	0	0	0	0	0	0	0	0	0	0	17	4957
gene2878	2	6	9	37	5	5	14	5	6	25	8	8	2	0
gene2879	3	4	3	5	9	5	7	15	12	25	23	45	3	1
gene2880	0	0	0	0	0	0	0	0	0	0	0	0	72	22
gene2881	0	0	0	0	0	0	0	0	0	0	0	0	10	35
gene2882	9	9	15	4	1	4	4	5	7	3	2	4	2	3
gene2883	8	27	8	49	55	13	7	7	3	30	33	32	60	62
gene2884	0	0	0	0	0	0	0	0	0	0	0	0	932	253
gene2885	16	28	20	54	78	40	1	1	2	8	3	8	4	3
gene2886	0	0	0	0	0	0	0	0	0	0	0	0	38	7
gene2887	0	0	0	0	0	0	0	0	0	0	0	0	30	5
gene2888	2	2	3	4	2	3	2	2	3	1	2	1	110	40
gene2889	6	23	15	24	67	32	47	58	57	65	82	55	0	0
gene2890	1	1	1	0	0	1	2	2	1	1	2	0	0	15
gene2891	0	0	0	1	0	0	0	0	0	0	0	0	18	4
gene2892	0	0	0	0	0	0	0	0	0	0	0	0	55	176
gene2893	0	0	0	1	3	0	1	2	2	14	13	16	2	1
gene2894	0	0	0	2	5	3	0	1	1	0	0	1	1	1
gene2895	8	8	7	11	11	8	13	19	13	17	22	21	3	1002
gene2896	0	0	0	0	0	0	0	0	0	0	0	0	8	33
gene2897	0	0	0	0	0	0	0	1	1	0	0	0	12	0
gene2898	0	0	0	0	0	0	0	0	0	0	0	0	4	44
gene2899	15	9	11	5	2	5	26	17	17	8	5	4	1	0
gene2900	3	5	5	3	3	3	9	9	9	5	5	3	3	24
gene2901	6	23	19	1	4	22	0	1	0	0	0	0	359	162
gene2902	1	2	2	3	2	2	7	4	4	23	18	20	1	1
gene2903	0	0	0	0	0	0	0	0	0	0	0	0	7	54
gene2904	15	19	10	10	25	3	25	12	23	7	7	11	9	6
gene2905	0	0	0	0	0	0	0	0	0	0	0	0	47	142
gene2906	0	0	0	7	12	7	18	48	39	125	186	292	0	0
gene2907	0	0	0	0	0	0	0	0	0	0	0	0	8	0
gene2908	291	409	156	370	302	313	72	88	86	27	47	33	0	0
gene2909	0	1	0	3	9	3	13	25	31	76	122	74	0	0
gene2910	0	0	0	0	0	0	0	0	0	0	0	0	22	400
gene2911	0	0	0	0	0	0	0	0	0	0	0	0	70	25
gene2912	1	3	6	4	2	5	11	15	13	8	3	5	0	0
gene2913	0	0	0	0	0	0	1	0	0	1	1	0	170	3
gene2914	0	0	0	0	0	0	0	0	0	0	0	0	11	1
gene2915	0	24	7	31	275	264	939	2908	2095	1260	2971	2645	32	15
gene2916	1	1	2	2	2	2	2	2	2	8	5	10	1	0
gene2917	0	0	0	0	0	0	0	0	0	0	0	0	5	42
gene2918	0	0	0	0	0	0	0	0	0	0	0	0	19	72
gene2919	9	11	10	9	11	15	19	27	38	21	20	20	1	50
gene2920	0	0	0	0	0	0	0	0	0	0	0	0	30	9
gene2921	0	0	2	13	15	4	7	13	15	9	12	24	15	38
gene2922	0	0	0	0	0	0	0	0	0	0	0	0	6	116
gene2923	8	9	9	7	12	8	9	10	9	4	8	4	4	105
gene2924	1	1	1	1	1	1	2	2	2	2	3	2	1	26
gene2925	0	0	0	3	16	1	0	0	0	0	0	0	2	5
gene2926	12	13	6	34	28	8	45	47	55	58	50	49	0	0
gene2927	0	0	0	0	0	0	3	1	0	16	5	3	0	0
gene2928	0	1	1	4	16	8	36	104	62	94	398	130	0	3
gene2929	0	0	0	1	0	0	1	2	1	1	1	1	1	40
gene2930	1	1	1	9	12	9	15	22	21	63	66	123	0	0
gene2931	1	1	0	4	2	1	0	0	0	0	0	0	879	148
