no. samples with count > 0	no. samples with count >= 5	no. samples with count >= 10	pre-VST median expression	pre-VST mean expression	pre-VST expression variance	post-VST median expression	post-VST mean expression	post-VST expression variance
g0100	10	10	10	191.452492256239	225.845344971334	6101.6117309391	7.7522161666899	7.9078312648879	0.183965709929618
g0101	10	10	10	236.261998295473	279.534928095897	15259.0215460398	8.013547855469	8.13992462086638	0.346364800734459
g0103	10	6	4	7.87939119735546	7.7229241718131	25.2506744946798	4.76442968247123	4.68245826635908	0.147588193334676
g0104	8	4	3	3.29439763553179	41.6149554353856	5785.39728653656	4.38045310941401	5.04577439381186	2.27375002529798
g0105	2	0	0	0	0.278470619613928	0.346972396127075	3.6491789472175	3.74479621769316	0.0407015046826764
g0108	10	10	10	20.2216001693164	19.9069176884271	21.717328729807	5.37566499582406	5.35085131397744	0.0348396820221841
g0110	1	0	0	0	0.188328253134746	0.354675309287849	3.6491789472175	3.70473053125531	0.0308597848910956
g0113	10	10	10	23.8202075603117	27.3101106686724	348.257842624441	5.49680170898358	5.52151758501233	0.25723351834935
g0116	10	10	10	42.0909927214032	43.4594832523119	178.817781692076	6.00705974366228	6.01808625609255	0.0888642447913491
g0119	10	10	8	41.0130627939231	34.7442653268863	365.843556869803	5.97899706044854	5.71611855751084	0.376688020579705
g0120	10	9	8	14.2244137730047	18.9978120740249	154.517122647089	5.12010016282773	5.23665145314808	0.235336184903432
g0121	10	10	10	44.4199662074752	53.1539295056089	778.973625679019	6.06969923111397	6.15088495638536	0.307704221896974
g0123	6	2	2	1.58141320742546	62.88949264843	21589.3668177065	4.14403658605167	4.8294297839992	3.4159128554661
g0124	2	0	0	0	0.643692869841161	1.93592326023558	3.6491789472175	3.7930215809157	0.093114447579579
g0125	10	10	10	102.957997231715	108.895173899415	1219.17021856483	6.98194717068858	7.00549164304427	0.152014010732494
g0126	10	10	10	30.7221573163204	36.3404865297378	269.138366503758	5.7206709953459	5.82493867460085	0.141128266748073
g0127	10	10	10	24.110255003411	24.7989357940495	96.8489122811818	5.51603578528639	5.49860133779924	0.113922339748008
g0128	10	10	10	1032.73143238923	1641.32986456983	4067212.75284761	10.0414768755416	9.67177128142491	3.84674559349134
g0130	10	10	10	402.28109558333	409.048085993845	63394.5329801327	8.73795573528379	8.46909119423125	1.1237608121962
g0131	10	7	1	6.39931890601329	6.46626608891126	8.19847286199193	4.65859081910854	4.63627894534335	0.0539296605342994
g0132	10	10	10	266.793521851544	265.984837632835	10010.781312053	8.18055305622672	8.09576806158127	0.298411012930472
g0133	4	1	0	0	1.02265791180037	3.8160368736938	3.6491789472175	3.88268723814529	0.122723655557908
g0134	10	10	10	259.760884803905	213.569618021316	12725.3141114105	8.15117231225151	7.68481290887035	0.802409966910842
g0135	1	0	0	0	0.0941641265673729	0.0886688273219622	3.6491789472175	3.68858039881205	0.0155247438775776
g0136	10	10	6	13.6080982217669	44.4180791666234	4999.23405637998	5.07852505342256	5.48458497510853	1.35383904591848
g0137	4	3	2	0	14.704525231691	1152.99513916549	3.6491789472175	4.37786917020722	1.32812003512135
g0138	7	0	0	1.62313236338611	1.30647551421118	1.0927383919815	4.16529594711255	4.03187726334835	0.0748745114635316
g0139	9	8	6	17.7525781419491	17.6152931141039	165.786927882187	5.27468392010606	5.09221013610386	0.499310807691945
g0140	1	1	0	0	0.645044213843323	4.1608203781275	3.6491789472175	3.75052791506668	0.102716132840928
g0141	10	10	10	279.404677879898	364.766961539125	49269.6122521764	8.24676773282953	8.40342679941345	0.640190096404943
g0143	10	10	10	263.119244211406	310.441461306546	40448.2172456438	8.1583264770944	8.20387490760235	0.53782918745065
g0144	10	10	10	601.15259895086	856.789861952951	695466.741990384	9.28731154198458	9.23343476571828	1.84050530098081
g0147	7	2	2	0.909873038036416	11.0357151468884	497.106620546795	4.03647056901003	4.36652460603983	1.00820585170649
g0148	10	10	10	606.096888133532	827.673080222077	186887.055942887	9.30131224904959	9.58783094008444	0.442784509257144
g0150	10	10	10	76.275266211225	72.1073832350195	419.994616145028	6.64037878639066	6.54347862547323	0.111670544599148
