no. samples with count > 0	no. samples with count >= 5	no. samples with count >= 10	pre-VST median expression	pre-VST mean expression	pre-VST expression variance	post-VST median expression	post-VST mean expression	post-VST expression variance
g0767	10	10	9	27.9402892876589	71.7837655027339	8182.92946203994	5.63989256187892	6.11269340571253	1.20851178912906
g0768	10	10	9	36.9050614613464	36.1731498696135	373.285961672935	5.88812733641365	5.76010699068708	0.358541491407417
g0769	10	6	3	8.19516341774349	7.59051058406447	13.9915163297449	4.78553575705799	4.70529419787755	0.082103252833686
g0770	2	1	0	0	0.943967767533849	4.62588682388266	3.6491789472175	3.82026731515623	0.135645269383882
g0771	10	10	10	76.4015525272738	66.7591536533329	539.189015326812	6.64084859851167	6.43768548430762	0.186470371227074
g0778	10	10	10	145.086113526551	155.760811047594	8914.7320817123	7.39975277515867	7.30861284728206	0.605082096095217
g0779	4	2	2	0	20.8536772567062	1901.38660572496	3.6491789472175	4.39664840036432	1.89321952717951
g0780	10	10	7	16.7316690638453	18.0596191989559	109.945814996238	5.22675645873582	5.22012641340892	0.178770227675976
g0781	10	10	10	136.515758190062	145.373751254203	1364.55666485306	7.32552694399122	7.3733793049447	0.102710567861951
g0782	1	0	0	0	0.149461776845263	0.223388227377432	3.6491789472175	3.69872977305265	0.0245528434094529
g0784	2	0	0	0	0.266894751010041	0.362873061328044	3.6491789472175	3.74142309131136	0.0392631969643534
g0785	6	2	0	1.41751742019418	2.01243782577207	5.75497613389827	4.10388700733663	4.06679078501618	0.166469573304018
g0786	10	10	10	96.7227197128602	109.685444988021	2175.32180556191	6.9123072691281	7.00484815015698	0.150544929399242
g0787	10	10	10	25.8020492496442	116.744924894043	41655.3820086634	5.57143396445358	6.17372983460049	2.25594996985821
g0789	1	0	0	0	0.0855554471783893	0.0731973454189416	3.6491789472175	3.68674675658486	0.0141134030066186
g0791	1	1	1	0	1.16107958491798	13.4810580251331	3.6491789472175	3.78310525954107	0.179362571325894
g0792	10	7	3	5.62805002351193	7.17756517771775	23.8082744959536	4.59775135583315	4.655496427727	0.118797330521148
g0794	10	9	3	7.89314461297645	10.3988148201327	47.074474771322	4.76534464778976	4.85598387636059	0.142896489685021
g0795	10	10	10	49.2615774703267	59.1495533379425	1605.40395870195	6.17256622094885	6.20973004028638	0.450499836210377
g0796	10	10	10	104.998334253605	119.597004050756	1322.80510547537	7.00965536241979	7.12379213537963	0.132050043645532
g0798	10	10	10	29.7678742712793	29.8146632633363	49.0927958956419	5.69487684667418	5.68225552586508	0.041321673298427
g0800	10	10	10	931.270485310149	974.056579795749	57282.1703429113	9.90072881120624	9.93106143344414	0.101583201500938
g0801	10	10	10	267.345215205547	289.319345637386	46146.931005187	8.18894807137861	7.97051521587542	1.19210202124778
g0802	3	0	0	0	0.399431443225503	0.572377202018693	3.6491789472175	3.78518905476686	0.0522637598965783
g0803	10	10	10	32.853826933319	40.5390551506897	476.687713152119	5.78358364247856	5.89420581174139	0.248401132215626
g0804	2	0	0	0	0.249536460637868	0.307101428206799	3.6491789472175	3.73875901121298	0.0366722890300919
g0805	8	2	0	2.66253926807932	2.842851884557	5.65048236734996	4.30804071272296	4.23380231571485	0.129032226583989
g0806	2	0	0	0	0.704377016460495	2.40786401319289	3.6491789472175	3.79883805836633	0.101821873135546
g0807	10	10	10	331.753004837294	328.801476963412	32280.1363679672	8.47640593318251	8.27376540777758	0.657678753889269
g0808	10	10	10	75.6088138652996	82.2754233613364	2189.46147909939	6.62969617702801	6.59012034532479	0.432454984140916
g0809	10	10	10	58.1701124717652	54.7599884475514	477.784161678793	6.34557367835105	6.20791512457714	0.252569548313486
g0810	10	10	10	25.0464034539111	26.438227455662	93.3645690279447	5.54496406243925	5.5629350643916	0.0804383730896221
g0811	4	2	2	0	4.66416050630751	84.7695457427603	3.6491789472175	4.09771049284477	0.538249423367871
g0812	5	1	1	0.576817985766756	2.5121031042689	26.492146313718	3.86708671782406	4.03696886209559	0.264185376386435
g0813	5	0	0	0.439052405199551	0.578262009438172	0.411986546418874	3.83946331103728	3.86592747892665	0.053538906340692
g0815	6	1	1	0.863454683627381	1.64869292817846	9.79047652609886	4.02651237868514	3.99873675986587	0.155311349732229
g0817	4	0	0	0	0.652149937653688	1.45278740042158	3.6491789472175	3.84280892854991	0.0765049253703733
g0818	10	10	10	401.040202282093	429.748284903351	10456.4931325598	8.73389162912384	8.79531845108201	0.104904337790452
g0819	8	1	0	2.13966198229595	2.28431909803193	3.98181616452475	4.22820817086779	4.16385435396318	0.116436658093486
g0820	10	10	10	355.372374993327	343.465661058658	7303.32281935084	8.56995449533957	8.48688437384319	0.123200671234084
g0821	10	8	7	16.1939897926117	17.0551746260175	116.023848607487	5.20791063996304	5.15643311052865	0.237914555369217
g0822	10	10	10	109.292510774319	114.244578183014	1530.70264480997	7.05632424524784	7.05747039816299	0.167480245319576
g0823	10	10	10	172.996725051883	319.292162717419	170737.107063627	7.62242029201319	7.86548949755394	1.38637710383691
g0825	6	2	0	1.52314902424243	2.45462146157431	10.9748984588528	4.14784500444613	4.10131649262956	0.207320335507543
g0826	10	10	10	39.2187649346712	40.0589125652167	77.21008552968	5.94866010581299	5.95232118018425	0.051318923619524
g0827	10	10	10	92.6538143776518	85.323863593964	398.120645838677	6.86285874703711	6.74267789488486	0.0817824178933569
g0828	9	2	2	3.650403967843	12.6802808554017	465.415054108676	4.41108586012723	4.64124738192107	0.779987953259396
g0829	9	6	1	5.49038491628767	6.69849573091848	34.8152414767259	4.58650821328826	4.56176468437017	0.2283309818718
g0830	9	9	9	33.1422727250849	38.0309531016739	928.586794413599	5.79137212591253	5.63205958038483	0.949163875408738
g0831	8	4	3	4.0740188209897	6.12466061193793	29.0285595486126	4.4602874490614	4.48247516078048	0.288068588276614
g0834	9	2	2	0.998583530158199	6.60466966114236	181.140607199238	4.05468906258333	4.36103628953248	0.474214356428591
g0835	4	0	0	0	0.57309798872232	0.744955387713339	3.6491789472175	3.83873939803634	0.0645161798759633
g0836	1	0	0	0	0.0941641265673729	0.0886688273219622	3.6491789472175	3.68858039881205	0.0155247438775776
g0837	1	0	0	0	0.149461776845263	0.223388227377432	3.6491789472175	3.69872977305265	0.0245528434094529
g0838	10	10	7	11.8551142540343	13.258384135967	21.4494472794558	5.00005489879016	5.05239688483271	0.0509029496381452
g0839	10	5	4	5.65370487151471	13.3844869730863	353.242215556922	4.59738832034402	4.81252654998461	0.555023311423452
g0840	10	10	10	49.5775806612468	67.00424228691	3009.47276373643	6.17986876465194	6.31601158435039	0.473502130089388
g0841	1	0	0	0	0.298923553690526	0.893552909509728	3.6491789472175	3.71891834730705	0.0486358392485009
g0842	10	8	1	7.79596113702286	7.41806255645355	5.07041132044278	4.75869306650851	4.71970845123169	0.0269908268730587
g0844	2	2	1	0	2.53297974891102	38.450676258659	3.6491789472175	3.91618215869388	0.34531326917166
g0845	10	10	10	190.201444391893	236.014814010377	27928.1769683957	7.74511115222036	7.84801660953133	0.465533892518614
g0847	10	10	10	177.108913811995	180.624151952925	2336.72755183419	7.6539698882735	7.6439217625398	0.110106978513489
g0848	2	0	0	0	0.338988540206298	0.652777555292881	3.6491789472175	3.75141474419449	0.0500324990474657
g0849	3	0	0	0	0.436766291840681	0.768641804181976	3.6491789472175	3.78847312185788	0.0578960754456469
g0850	7	6	6	26.1814735216623	61.0384270806776	7884.18993322465	5.54302964654786	5.47231429789483	2.83820721106561
g0851	10	10	10	104.435104952623	93.3522762081626	2826.98855726903	7.00214162726111	6.66071836296006	0.800128485095885
g0852	4	1	0	0	0.93043108216113	4.01721911860107	3.6491789472175	3.8666552143087	0.113796094470175
g0853	1	1	0	0	0.645044213843323	4.16082037812751	3.6491789472175	3.75052791506668	0.102716132840928
g0854	3	2	1	0	3.16903488774274	55.2691910059972	3.6491789472175	3.98409984570967	0.399584955455119
g0856	10	10	10	1739.86903572767	1723.27884702567	246941.846231506	10.769829684611	10.7174798189802	0.176439107489271
g0857	10	10	10	6084.61131421802	6617.52799944548	6915646.68818613	12.5718547177178	12.5907904040405	0.358627881849146
g0858	7	2	2	1.10870657904061	29.4593180795861	4064.62360404624	4.07582742793068	4.63687026564819	2.11124118265318
g0859	10	10	10	148.165234532273	152.431439470484	562.569473138332	7.42873967607552	7.45217697533595	0.0403668977707753
g0860	10	10	10	16.0980130677972	16.7736868671823	15.0635631447243	5.20662813634004	5.22637826175343	0.0241285807377264
g0861	10	10	10	56.8323098016306	53.6552003903211	284.448790741167	6.32087036881667	6.22349042667905	0.118553500363066
g0862	8	6	3	5.51118784657315	7.61960728453544	52.4355371696368	4.58859418328686	4.5553980933374	0.381570461230177
g0863	1	0	0	0	0.0855554471783893	0.0731973454189416	3.6491789472175	3.68674675658486	0.0141134030066185
g0864	10	10	10	4539.95503684724	4524.04115482117	5863138.57322145	12.1562585948207	11.9212828628338	0.876746466681273
g0865	10	10	10	10172.5995893938	8744.10598920426	21640210.2479054	13.3142980479175	12.8334895421762	1.03295144362728
g0869	10	10	10	42.0310780428592	44.2589139569845	466.249658901179	6.01389234256389	5.98472682618955	0.24928865329304
g0871	10	10	10	53.9544974769392	52.8764374778705	106.149867990391	6.26683052049999	6.23019189475701	0.0513589288723861
g0872	10	10	10	45.3042099367851	36.3968272162151	305.370802620249	6.08898596306007	5.7915016796694	0.271362002602107
g0875	10	10	10	44.6324739280142	73.7968822012915	5883.01466113916	6.07329277731687	6.28679496918992	0.827963767676682
g0878	10	10	9	17.2369245766791	19.614912031194	98.2911395556476	5.25563425940324	5.30741339756945	0.110861642678844
g0879	10	10	10	119.373155138751	137.742907752088	2119.45219484099	7.16258894252918	7.28625078499813	0.163453641118775
g0880	4	2	2	0	44.0994727225421	10673.2187460446	3.6491789472175	4.61673287677977	2.94771209068725
g0881	10	10	10	54.0604111922302	74.9736859148031	2453.73072023589	6.26887111659183	6.46185094960971	0.478054259501569
g0882	9	3	2	2.60048892327449	29.9934520223496	3358.4349565536	4.30043979385	4.85774670901618	1.79613176104897
g0883	10	10	10	106.948125305763	107.574034002334	198.601253617692	7.03162676404059	7.03099153866538	0.0236974014291995
g0884	10	10	10	21.1493300364419	25.4175627514385	132.180585777341	5.40960597511875	5.5125686807108	0.127089718602193
g0885	10	10	10	132.935449322412	142.523792110028	4875.26789481644	7.28353015946664	7.26413482308493	0.376148026275601
g0886	6	2	0	2.46798769315326	2.71676399849394	8.70601300730179	4.28219340646062	4.14624508716297	0.208805401559148
g0889	9	1	0	2.09196160566563	2.44124180569449	2.95393468660561	4.23034268590919	4.22192058426423	0.0753898858267966
g0890	10	10	10	27.4541020544068	28.1801185334832	24.5795749241523	5.6251728944122	5.63964019439759	0.0225772056492868
g0892	10	10	10	170.137305112489	189.981246727226	11021.1470776006	7.60302986590822	7.53775196898075	0.780053406268186
g0893	7	4	3	3.54348807578097	8.80518083386058	149.573193016676	4.40131529465654	4.50135639696301	0.61624801694727
g0894	7	1	0	1.93363060504177	2.13467687803366	4.30647114059985	4.21137171792513	4.1270635140099	0.129923308788416
g0895	8	6	5	12.8347304091369	12.8868962611506	133.841612658689	5.0322386145696	4.80540264328632	0.609188710383657
g0896	7	4	2	3.01378566497611	6.20957681823421	61.1183017453481	4.34736600845364	4.38351641256897	0.448502981583646
g0897	7	1	0	1.70959282780321	1.83601343687746	3.66799419013505	4.17870573715645	4.08808325898161	0.116605969096801
g0898	5	0	0	0.439052405199552	0.76666453222123	0.860976767705421	3.83946331103728	3.89510861049692	0.072483293010952
g0900	1	0	0	0	0.0895421349850653	0.0801779393768366	3.6491789472175	3.68760705372851	0.01476719370021
g0902	10	1	0	1.77352616024976	2.42143744766087	2.98798143512562	4.18844913789312	4.2495614920578	0.0358661997543342
g0903	10	4	2	2.66028924037463	4.90977881416945	21.1059344234786	4.3077656457895	4.45451702757599	0.137125835649364
g0905	1	0	0	0	0.166297603480822	0.276548929234646	3.6491789472175	3.70141753840008	0.0272887040874004
g0907	10	10	10	65.6684316025102	70.0460723742367	455.182426771837	6.47549284332054	6.51060354015476	0.109147338931519
g0909	4	0	0	0	0.394282104835918	0.265940932029906	3.6491789472175	3.81008575494874	0.0434317256564428
g0910	9	7	5	9.02201198119584	16.0604749553828	355.714745851869	4.82967001397523	4.91360813055142	0.691906415265545
g0911	4	0	0	0	0.428078701474454	0.316795336277168	3.6491789472175	3.81665650408488	0.0471754414866461
g0912	10	5	2	4.81922257036375	6.40025756784126	31.1249747381652	4.52503994052518	4.56804669866326	0.167581650291088
g0913	7	2	0	2.43696767920935	2.58824261275374	5.18206884340685	4.27974532174899	4.17813279015114	0.152989220239968
g0918	3	0	0	0	0.359812275561456	0.382083567394798	3.6491789472175	3.78089902313156	0.0464750510127413
g0922	10	6	5	10.4591152286633	12.0599726022333	79.0443289218932	4.89941448408519	4.8993095202536	0.266698694517853
g0923	7	1	0	2.18223739635909	2.12304778536231	4.65538530555862	4.24646340096381	4.12123590177002	0.133644983985638
g0924	1	0	0	0	0.0941641265673729	0.0886688273219621	3.6491789472175	3.68858039881205	0.0155247438775776
g0925	5	0	0	0.263881448660667	0.704891962684792	0.915571493205529	3.79686841533923	3.88014900391091	0.0690779535471212
g0927	10	9	7	14.1843929087746	15.3361599764086	84.2306665967831	5.11600025517372	5.10270345360993	0.172331718225858
g0928	1	0	0	0	0.129008842768665	0.1664328151251	3.6491789472175	3.69524539185801	0.0212211732181711
g0929	1	0	0	0	0.161725979597957	0.261552924769188	3.6491789472175	3.70070213844902	0.0265463923467975
g0930	1	0	0	0	0.129008842768665	0.1664328151251	3.6491789472175	3.69524539185801	0.0212211732181711
g0932	2	0	0	0	0.214502269330091	0.270438965333701	3.6491789472175	3.73024003207337	0.0318892938515769
g0933	10	1	0	3.2250717257529	3.00370859778924	2.78517749698729	4.37251522636729	4.31940955573313	0.0410558255478352
g0934	5	2	0	0.645044213843323	2.07970688101434	8.10682973807051	3.87951117042005	4.0372834525396	0.202638243982933
g0935	7	2	2	1.27054042260759	18.6415071774615	1850.54442279583	4.10065626695084	4.52470109595218	1.43326594115747
g0937	10	9	8	111.985014458221	111.741097166232	6408.49860271714	7.03285068355344	6.70456438716152	1.53033551461255
g0938	6	0	0	0.843521244594001	1.24175148841456	2.27987480124035	4.0222108929669	3.98128807248406	0.102096201400628
g0939	10	10	10	129.98330283218	132.610083313801	1804.82139216313	7.26726640518647	7.24106444168911	0.164178718966734
g0940	10	10	10	34.2566835770756	38.8237075659849	257.143848018622	5.82103405832853	5.88628764832124	0.154744138451295
g0941	10	10	10	1267.35140168184	1508.23565508659	556353.639191797	10.3356937439276	10.4128189446628	0.59464812257305
g0942	1	0	0	0	0.0895421349850653	0.0801779393768366	3.6491789472175	3.68760705372851	0.01476719370021
g0943	1	0	0	0	0.149461776845263	0.223388227377432	3.6491789472175	3.69872977305265	0.0245528434094529
g0945	1	0	0	0	0.129008842768665	0.1664328151251	3.6491789472175	3.69524539185801	0.0212211732181711
g0946	10	10	10	208.963180478377	225.327296846533	4980.52547650326	7.86383018217373	7.91749277573188	0.142993799078815
g0948	10	8	8	12.8856977222975	37.6413250530863	4420.07064345584	5.05497826272799	5.37252193287547	1.19185820817881
g0949	2	0	0	0	0.439802818038127	1.48035798327836	3.6491789472175	3.75784991803323	0.0661510341748487
g0950	7	0	0	1.733659282183	1.69502112505546	1.95406283388571	4.18241740450815	4.08197930818605	0.0988157686484657
g0951	10	10	10	107.204777381003	108.273509477302	1229.89778240762	7.03235037010446	6.99773568957995	0.155584549258244
g0952	10	10	10	181.468351155588	170.141051046915	1991.79187623004	7.68506500653468	7.56348536920127	0.135249530383035
g0953	10	6	4	8.84970226102383	18.5509977788309	547.005829546606	4.82756174761767	5.01942414907112	0.670917880243
g0954	10	8	5	13.00969515483	32.9285452646135	2398.88197725057	5.03152635632115	5.30076726995548	1.16238979679028
g0955	5	0	0	0.263881448660667	0.758683758224534	1.79767385189752	3.79686841533923	3.87773183581849	0.0792287619882856
g0956	10	10	10	65.760216094663	63.713198155499	136.527161417234	6.47712202602091	6.42934011181225	0.0428247901199573
g0958	2	0	0	0	0.21855097775373	0.220940249583139	3.6491789472175	3.73367349836902	0.0320544863823172
g0959	1	0	0	0	0.129008842768665	0.1664328151251	3.6491789472175	3.69524539185801	0.0212211732181711
g0960	1	0	0	0	0.0855554471783893	0.0731973454189416	3.6491789472175	3.68674675658486	0.0141134030066186
g0962	10	3	1	3.89509580025794	4.67778045744831	11.7387907587411	4.44197761587968	4.46341280483278	0.0891545973430226
g0963	9	4	2	4.68220498101303	5.3259096154272	15.1541735271984	4.51733588889579	4.48472640421155	0.159111245785057
g0964	10	10	10	350.172802317827	328.556926165823	4514.046412673	8.5501419386783	8.43948716112786	0.0816698079465414
g0965	9	4	3	3.01699098985884	7.01957239336134	70.7603869262959	4.3329558971306	4.49919727721209	0.376172685284557
g0966	10	10	10	2147.14286772406	2300.62188195115	797758.206465137	11.0842064529293	11.072429210483	0.403407630857885
g0967	1	0	0	0	0.129008842768665	0.1664328151251	3.6491789472175	3.69524539185801	0.0212211732181711
g0968	6	0	0	0.691658684552614	0.78834341520996	0.612984553087165	3.984707462176	3.92244372416741	0.0609314843593376
g0969	10	10	10	71.5839058246751	85.3503119196771	982.514437174959	6.56847345755883	6.71199583335829	0.174602083232149
g0970	10	10	10	202.295634961635	231.54050784869	8272.63220953582	7.81867519298551	7.91485796991862	0.275654087098117
g0971	10	10	10	93.3989396852195	111.750748431907	3500.0895645385	6.87047120244107	6.95308163389265	0.418908772922411
g0972	10	10	10	205.512789370166	284.211252619977	107850.21074958	7.83933484284125	7.68365462281287	1.81946704306748
g0973	10	10	10	89.5829656437155	93.39999166603	1538.41351116784	6.82306841023646	6.79265889273991	0.255159602069617
g0974	10	10	10	102.001898828148	93.6478030542563	745.743888147778	6.97535034662554	6.82614400779334	0.176543381401081
g0975	10	10	10	406.997563562119	437.369332885529	9010.07567903898	8.75250174377161	8.82591964311239	0.0819900126857213
g0977	10	10	10	289.687426959217	306.806349596651	7281.07098677814	8.29587089182261	8.33648744108424	0.10597281775338
g0978	8	1	0	2.90059150365541	2.72105741190307	5.19971604407583	4.33516542903957	4.2194283180592	0.126242960417266
g0979	10	10	10	64.2991472966288	63.1137900124311	80.7184074041172	6.45254096489497	6.4246228863175	0.0254226441266433
g0980	10	10	10	249.394287536332	273.763178735167	4413.99258079573	8.09701240371795	8.18967334865507	0.0971987554838102
g0981	10	9	7	13.9633106318781	16.2350036618366	88.704134753352	5.10621992638698	5.14095387156127	0.182417750571382
g0983	4	0	0	0	0.51983357544296	0.55969546996734	3.6491789472175	3.83098644015623	0.0581628727563837
g0984	10	1	0	2.20916176617618	2.71615537831888	1.81995802808728	4.25005647589644	4.2990402261447	0.0208346836607697
g0985	10	10	10	56.3977629889554	66.336158750637	753.897889431836	6.31296521053492	6.41528170890828	0.229450363545195
g0986	10	10	10	31.4227083196305	28.1856018183452	98.9148985009345	5.74333896747352	5.61057102837033	0.109147074080151
g0987	10	10	10	39.9232038253491	43.6038605231252	282.807153420754	5.96564431976316	6.00887189311102	0.120862097658706
g0988	7	2	1	1.65268584130751	3.01783673554355	16.781008345966	4.15270820433321	4.17249340776981	0.225308390596657
g0989	10	10	10	46.2896499735543	62.7274845267183	1407.90435959265	6.10999182593018	6.30780193864391	0.341247776971589
g0990	10	10	10	41.5875526853551	46.403446177816	370.817165668155	6.00491300962702	6.05777318112077	0.163999598104005
g0992	3	0	0	0	0.703877779198166	1.98744671102801	3.6491789472175	3.82645818426253	0.0921392996636709
g0993	2	0	0	0	0.273883700313135	0.392067081566195	3.6491789472175	3.74229834062267	0.0403355182995211
g0997	7	7	7	51.8720395130997	76.1332258742812	5849.40884769479	6.17763390498219	5.88154603430822	2.89619825460783
g0998	10	10	10	133.185081793168	143.036724874257	5129.05923967573	7.29699589540501	7.23926364425237	0.520844325303145
g0999	10	10	10	90.920965607643	94.5581991443832	1790.83213129787	6.84089200110987	6.79570058175626	0.290867114719129
g1001	10	10	9	17.8782508316185	32.751006395066	1172.96824389887	5.28269380721884	5.54277290432369	0.595329372551094
g1002	10	9	9	39.0459922208586	37.7357543536299	437.515103985963	5.94217242949424	5.79150244249867	0.395008102657225
g1004	10	10	10	164.655401156879	174.568407117735	7450.14343822709	7.56051270381798	7.49526138287892	0.484317453889455
g1005	10	10	10	101.213255509726	100.636570912381	1479.21120949221	6.9573754078112	6.88386628122779	0.258766825334557
g1006	10	10	10	83.3512039286794	100.431350421209	2309.53254091208	6.73736202688475	6.84953190599437	0.354632212154097
g1007	6	6	6	14.2996009910143	20.5575083349927	659.575647857307	5.11169904120267	4.87041929495988	1.33587238345836
g1008	10	10	10	26.3727364172645	24.9075144623952	126.886511697756	5.58185828647998	5.48827012050454	0.153794004783735
g1009	10	10	8	52.6764967691104	47.1259935167058	919.241788965831	6.23793527808055	5.92879950200394	0.680682529775147
g1010	3	0	0	0	0.770752463904921	1.68893890485873	3.6491789472175	3.84169089110289	0.0983819722517477
g1011	3	2	2	0	9.76663212698851	430.227265966793	3.6491789472175	4.18618399167157	1.08565340647916
g1012	3	0	0	0	0.467997382974963	0.722026994231641	3.6491789472175	3.797481188835	0.0607878063062617
g1013	8	1	1	1.687042489188	2.87787841503612	13.93107364924	4.17527652639493	4.20742399302242	0.161279016575454
g1014	10	10	10	89.7985597750562	104.117560885451	1844.97498208224	6.82623611178998	6.93405539233573	0.193625488484348
g1015	10	10	10	633.358703475251	1014.42574907576	1149983.84866134	9.36097190913078	9.15619310717755	3.7928239962606
g1016	10	10	9	26.3440089060318	38.1743118759023	1507.55797218898	5.58307916256683	5.6870421071328	0.602542483408446
g1017	10	10	10	336.493832557001	318.446249989302	6604.48425643106	8.49548007606147	8.38056393658412	0.143228204743373
g1018	6	0	0	0.863454683627381	0.767893844750033	0.674021735088505	4.02651237868514	3.91840464037422	0.0595733183252068
g1019	10	10	10	67.3965324437404	60.930714824814	289.294865631266	6.5032809889635	6.35913149105755	0.120348551244121
g1020	1	0	0	0	0.171110894356779	0.292789381675766	3.6491789472175	3.70215987187042	0.0280697837707759
g1021	4	0	0	0	0.518758481651503	0.543836054999186	3.6491789472175	3.83086011163671	0.0580334429587306
g1024	10	1	1	2.40086799763967	3.69487193214172	15.344483024954	4.27523599154482	4.35343251918459	0.0998627163810645
g1025	10	10	10	588.703366774261	569.950264027378	84660.3207677849	9.2576704941404	9.0080230780012	0.80377137194766
g1026	10	10	10	139.766412864682	172.122053073864	4787.95312819473	7.35657165221264	7.5413608449695	0.235037610447218
g1027	10	10	10	58.4865318827943	55.9047784131887	324.19609834323	6.34889284596999	6.26362962434215	0.126574592235177
g1028	9	3	2	3.40810249568088	14.6636382364508	1253.88870324701	4.39259247200064	4.58982904797646	0.914897049625871
g1029	1	0	0	0	0.149461776845263	0.223388227377432	3.6491789472175	3.69872977305265	0.0245528434094529
g1031	10	10	10	62.2033739246132	62.7453646913145	306.715183647189	6.41449995827229	6.39501516203851	0.0993378962441189
g1032	1	0	0	0	0.0831488017404109	0.0691372323086615	3.6491789472175	3.68621752700003	0.0137185639230644
g1033	10	10	8	20.5243597211955	20.8961678407912	92.4590618940087	5.386652257134	5.34661793737866	0.150956494491971
g1035	10	10	10	33.293016559473	35.1679657844432	159.786520759903	5.79575695577494	5.80840536517233	0.109206610588416
g1036	10	10	10	59.6096836292183	63.6727631401182	385.426926450704	6.37064209450331	6.40790773025159	0.10388631825039
g1037	10	10	10	92.7731575735626	94.7179677076379	859.541014261685	6.86435397040537	6.8437772378799	0.145435098975009
g1038	6	2	1	1.38331736910523	3.26103600129464	26.6530670748173	4.12258642787514	4.15191870543161	0.283332072855762
g1041	10	7	5	9.81784552993343	10.6248329386155	46.8991410345258	4.87438258355756	4.85386991368537	0.183386176020878
g1042	10	10	10	96.168256968175	105.219528565824	1613.79297351161	6.90578404870432	6.93101691470966	0.292335694829598
g1043	1	0	0	0	0.387026528305994	1.4978953361259	3.6491789472175	3.72831202440888	0.062620439057764
g1044	10	10	8	31.4003984421926	41.0137799927335	992.480930469319	5.70566628362954	5.77818820559277	0.649849930556622
g1045	10	10	10	182.86019863982	189.444206364553	11508.1648426894	7.69127138584368	7.59092866360944	0.459304196291645
g1047	6	0	0	0.854796413901606	0.821459841082768	0.72570279372906	4.0246562099499	3.92818278086777	0.0633327584824877
g1048	2	0	0	0	0.281173541544087	0.378646814521752	3.6491789472175	3.74454628550133	0.0412174066648254
g1049	4	2	1	0	2.13978858572691	17.7650491484393	3.6491789472175	3.97735361680372	0.252247113192701
g1050	10	10	10	126.751937940343	120.683596590189	1631.94266313416	7.23630109496888	7.11609889544605	0.208468575162686
g1051	10	10	10	20.1463373442463	26.7553508957015	298.183869902973	5.37272929200004	5.51787450240696	0.216401608316112
g1052	10	10	10	460.896133423211	475.749009129081	31529.222988866	8.92265743931927	8.90039319915697	0.196226220874096
g1053	1	0	0	0	0.161725979597957	0.261552924769189	3.6491789472175	3.70070213844902	0.0265463923467975
g1054	10	10	10	89.9912169903894	120.405635103325	12725.4830167848	6.82815617867105	6.86614676792938	0.884699510233298
g1055	5	1	0	0.831488017404108	1.37927220236783	3.11818304284546	3.91037190313037	3.97588202297062	0.130120808668822
g1056	10	10	10	111.584345487884	118.659659263352	5025.09511712874	7.07996967166985	6.9888560842451	0.539833520162446
g1057	10	10	9	24.9294424379507	21.5722560594729	72.1729118034564	5.54355306348211	5.38524681464441	0.114808006213447
g1061	10	10	9	43.0000145838657	49.1898230311809	1204.01897633603	6.03772409276313	5.97900576669906	0.605809654724587
g1062	3	0	0	0	0.290048547617307	0.271355823095587	3.6491789472175	3.76632453944095	0.0378198676393557
g1064	10	10	9	22.5313235152821	20.5764531158064	50.8506974073147	5.46083345693322	5.35891553178139	0.0836943000774968
g1065	10	10	10	38.7705479658876	43.6441417187289	462.30025293526	5.93766367325188	5.96607657987686	0.266018053935266
g1066	5	0	0	0.415744008702054	1.31513017087435	2.74859836654305	3.83437184613013	3.96573187723537	0.126115156756388
g1067	10	8	5	9.87455067378057	10.4074903287035	34.6834883367401	4.88512575956864	4.86838986410299	0.119274644401859
g1068	9	6	3	5.52290441544045	7.37565413732358	37.5043905807943	4.58939103178334	4.60204307982571	0.256583365381641
g1069	3	2	1	0	1.95470809487989	13.3110233729713	3.6491789472175	3.9436201412775	0.24629766199562
g1070	7	0	0	1.5559387822161	1.14069573313805	0.659384070798067	4.15454903255085	4.01022106523133	0.0631497048550737
g1072	10	10	10	4645.69472846196	8655.82783269016	94119477.2726353	12.175821508802	12.0081054286048	4.3608804764781
g1073	10	10	10	70.0475903639023	65.6877027265151	521.561517887278	6.54567369694258	6.41776563897298	0.199301101658639
g1074	10	10	10	325.790345035383	396.831417338859	26789.4774738998	8.4527061398399	8.63621589409485	0.245470103626685
g1075	9	1	0	1.89227623994949	2.75556455751813	5.98161590333049	4.19854962274997	4.24083192104919	0.10401336925217
g1076	1	0	0	0	0.171110894356779	0.292789381675766	3.6491789472175	3.70215987187042	0.0280697837707759
g1077	1	0	0	0	0.188328253134746	0.354675309287849	3.6491789472175	3.70473053125531	0.0308597848910956
g1080	2	0	0	0	0.223172969336038	0.228106075783109	3.6491789472175	3.73464684345256	0.032712395343224
g1083	1	1	0	0	0.645044213843323	4.1608203781275	3.6491789472175	3.75052791506668	0.102716132840928
g1087	8	3	2	3.20268977465079	20.417663139983	1672.19750002967	4.36762311682574	4.7108150960518	1.34414956221882
g1088	10	10	10	21.2429637913955	28.5466841734228	215.344092122307	5.41399256190937	5.59874273279243	0.159331628990172
g1089	1	1	1	0	1.41909727045531	20.1383706301371	3.6491789472175	3.79617270393414	0.216071645136703
g1090	10	10	10	126.399069137062	126.290901033591	4265.0122465799	7.22736818874557	7.06680261125096	0.604020855579577
