Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
65,19,0.3546,60.64,35.98,0.4505,8.42485e-07,"g0903 g0598 g4379 g0983 g0305 g4920 g0534 g4902 g3743 g3379 g0491 g0284 g0897 g2681 g1922 g4308 g1557 g3193 g2220"
66,14,0.9100,82.81,37.04,0.5601,5.71985e-06,"g3168 g0493 g0710 g0929 g1053 g1607 g1870 g1940 g2012 g3763 g4170 g1834 g4645 g3179"
67,19,0.7009,119.9,23.18,0.6621,7.39306e-08,"g1381 g0430 g1315 g1422 g2477 g2933 g3277 g3672 g3746 g3976 g4327 g4357 g0469 g2781 g2987 g1425 g1634 g3702 g0902"
68,15,0.4409,46.29,61.36,0.3363,0.00641084,"g2615 g2611 g2952 g0381 g3970 g0927 g1556 g2357 g4056 g0483 g1044 g4314 g3973 g1863 g0685"
69,12,0.4551,30.04,56.55,0.2716,0.353727,"g0082 g2062 g2913 g3902 g4075 g1763 g1865 g3130 g1387 g0356 g2653 g4157"
70,25,0.3052,91.55,88.91,0.3972,1.60653e-06,"g3085 g2100 g2773 g0542 g3877 g0807 g0130 g0937 g1033 g4783 g3607 g1497 g2426 g2771 g2558 g2008 g3640 g1025 g4799 g3711 g4791 g0548 g4820 g3448 g1184"
71,21,0.3802,79.84,62.95,0.4321,8.78220e-07,"g1376 g0333 g2286 g2309 g0088 g3330 g2695 g1801 g4020 g4021 g3514 g3732 g0974 g4856 g2418 g0743 g4615 g3236 g4224 g0183 g3242"
72,13,0.4939,38.52,54.90,0.3226,0.0406153,"g0519 g3191 g2057 g1214 g0303 g2760 g2376 g4905 g1292 g3172 g0162 g1876 g4240"
73,17,0.4789,65.13,47.57,0.4439,6.58565e-05,"g3178 g3312 g3334 g2656 g3099 g4644 g2180 g4620 g2468 g1851 g2609 g1142 g2927 g2065 g3309 g2776 g4734"
74,25,0.3086,92.59,70.86,0.4338,5.87916e-08,"g0808 g0624 g1981 g2025 g3054 g1359 g2819 g2120 g2165 g1226 g0532 g2041 g4096 g1374 g4155 g0316 g4805 g2895 g4912 g0386 g3250 g4625 g2560 g3735 g4897"
75,9,0.9932,35.76,29.49,0.4295,0.000396135,"g1487 g0880 g0123 g2974 g1170 g2334 g3920 g2098 g3477"
76,7,0.8532,17.92,35.66,0.2651,0.600851,"g0402 g3650 g2639 g4579 g4257 g1926 g1628"
