Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
362,6,0.9060,13.59,17.82,0.3131,0.0463479,"g0049 g1747 g4903 g4349 g3443 g1446"
363,7,0.5284,11.10,23.48,0.2285,0.600851,"g2110 g3245 g3186 g0212 g4407 g3291 g0066"
364,7,0.8609,18.08,33.79,0.2745,0.304640,"g4105 g1265 g4222 g2921 g3907 g3955 g2662"
365,6,0.8663,13.00,22.36,0.2744,0.287587,"g0475 g2502 g1473 g2150 g1041 g3679"
366,9,0.5350,19.26,21.46,0.3280,0.0170346,"g3577 g2450 g1234 g2688 g4269 g2388 g0032 g3092 g0328"
367,4,0.8896,5.338,8.315,0.2465,0.235243,"g0075 g3801 g0418 g0875"
368,9,0.5896,21.22,29.41,0.3092,0.0386943,"g3696 g1263 g4713 g0809 g1822 g0669 g2071 g0256 g1651"
369,6,1.080,16.20,14.40,0.3803,0.0153195,"g4086 g4164 g3338 g0637 g2813 g4110"
370,4,1.011,6.064,16.11,0.2010,0.843839,"g1006 g1955 g3814 g0879"
371,4,0.7120,4.272,7.469,0.2164,0.442617,"g3578 g3727 g3135 g4084"
372,5,1.058,10.58,14.14,0.3048,0.0473465,"g1864 g4201 g2712 g1047 g1447"
373,6,1.032,15.49,11.42,0.3980,0.0101203,"g2187 g2937 g1304 g5000 g3103 g3373"
374,9,0.5102,18.37,29.66,0.2782,0.239964,"g0414 g2064 g2229 g3291 g1647 g2323 g2958 g2869 g3152"
375,7,0.7290,15.31,25.44,0.2796,0.153343,"g1223 g2240 g1237 g4210 g0819 g2379 g2083"
376,5,0.9022,9.022,11.99,0.2910,0.105038,"g0953 g3526 g1982 g1781 g3356"
377,8,0.5043,14.12,19.66,0.2837,0.0639038,"g2918 g3777 g2023 g4194 g0771 g2811 g4840 g0911"
378,17,0.3058,41.59,42.62,0.3518,0.00108662,"g3190 g2989 g4379 g0305 g4920 g0534 g4902 g2681 g0817 g4308 g1557 g0582 g1608 g2435 g0266 g4290 g2220"
379,4,0.9131,5.479,12.56,0.2104,0.764757,"g0997 g2969 g0380 g0334"
380,7,0.4656,9.778,27.75,0.1897,0.920068,"g4455 g2753 g4541 g2233 g4582 g0890 g3497"
381,8,0.6060,16.97,26.39,0.2859,0.113573,"g0049 g2717 g0762 g1747 g4903 g4349 g3443 g1446"
382,6,0.5902,8.853,26.72,0.1861,0.913257,"g3094 g2679 g4593 g2458 g1626 g3772"
383,10,0.4495,20.23,32.04,0.2799,0.260261,"g1012 g3169 g2548 g4554 g3868 g0990 g2530 g1250 g2920 g2906"
384,14,0.3516,32.00,54.39,0.2797,0.161607,"g1005 g0713 g1830 g3390 g2399 g1721 g2356 g1676 g3627 g0597 g3815 g0471 g1804 g4657"
385,4,0.9827,5.896,12.46,0.2237,0.442617,"g2440 g3038 g0628 g2232"
386,14,0.3157,28.73,31.67,0.3250,0.00613732,"g1764 g2430 g3057 g1195 g4159 g2002 g2297 g2603 g3658 g3491 g3342 g4479 g2829 g3589"
387,8,0.5622,15.74,23.33,0.2858,0.159034,"g3834 g1010 g4815 g1301 g3771 g3528 g1105 g2711"
388,14,0.3098,28.19,29.12,0.3305,0.00312958,"g0601 g0758 g2736 g0540 g3915 g0044 g0673 g2988 g3859 g4962 g4023 g1673 g3692 g2942"
389,9,0.4980,17.93,29.49,0.2740,0.213388,"g2542 g1890 g3390 g1017 g2882 g0964 g0018 g2551 g3736"
390,5,0.8376,8.376,19.81,0.2193,0.734565,"g2895 g3233 g1754 g4968 g4897"
391,5,0.8618,8.618,18.44,0.2325,0.582734,"g0981 g3674 g4131 g4749 g2119"
392,13,0.4063,31.69,40.05,0.3242,0.0324349,"g1574 g0682 g3733 g0521 g2189 g3308 g2698 g1062 g1322 g2369 g2737 g2034 g1434"
393,7,0.8686,18.24,15.91,0.3789,0.0368191,"g4755 g0133 g3409 g4006 g1325 g1755 g1731"
394,12,0.3678,24.27,23.60,0.3377,0.00147282,"g2936 g0758 g2736 g3915 g0308 g0044 g0673 g2988 g2158 g0247 g1673 g1158"
395,6,0.9052,13.58,7.306,0.4129,0.00653261,"g4174 g1854 g3385 g2963 g4143 g3662"
396,10,0.4290,19.31,23.23,0.3087,0.0378308,"g4042 g3523 g4176 g4348 g4074 g3298 g1175 g0690 g3117 g1054"
397,11,0.4030,22.17,29.56,0.3007,0.0381181,"g0366 g3901 g0327 g0637 g2813 g2984 g3684 g4110 g3129 g2618 g3745"
398,10,0.3629,16.33,17.96,0.3008,0.0320111,"g3632 g0509 g1221 g0065 g1318 g3618 g4252 g4008 g0737 g3067"
399,4,1.009,6.051,12.70,0.2262,0.557383,"g0152 g4022 g3297 g3892"
400,5,0.9188,9.188,12.05,0.2941,0.338052,"g3804 g3368 g4992 g4737 g2916"
401,13,0.4220,32.92,41.39,0.3282,0.0105081,"g2800 g0590 g2699 g2200 g2030 g3546 g4642 g2506 g1311 g1568 g0582 g1608 g1205"
402,9,0.5820,20.95,17.86,0.3688,0.00235910,"g3819 g3621 g3402 g4270 g4271 g4765 g1853 g2411 g4084"
403,9,0.5684,20.46,28.16,0.3071,0.108187,"g0903 g0598 g0983 g2867 g3743 g3379 g0491 g0284 g0897"
404,5,0.8727,8.727,11.29,0.2908,0.105038,"g3821 g1645 g3518 g4245 g2761"
405,9,0.4955,17.84,44.37,0.2224,0.891813,"g0700 g0041 g3800 g1109 g0562 g0048 g3824 g0951 g2288"
406,8,0.6277,17.57,31.38,0.2706,0.247418,"g2579 g1183 g1450 g3327 g3715 g1050 g0952 g1768"
407,4,1.224,7.343,13.86,0.2514,0.557383,"g3573 g1094 g2670 g2177"
408,8,0.6069,16.99,16.09,0.3462,0.00679364,"g0871 g1121 g2786 g2827 g2868 g2943 g2902 g2374"
409,14,0.3280,29.85,27.83,0.3484,0.00112335,"g0871 g2243 g1121 g0458 g2786 g2827 g4235 g2898 g2868 g2943 g2902 g3316 g2374 g2061"
410,7,0.4644,9.752,12.77,0.2670,0.185547,"g3913 g2109 g4497 g2774 g3166 g2040 g3953"
411,8,0.5497,15.39,31.36,0.2453,0.603552,"g3124 g3083 g3929 g3925 g0719 g3237 g4963 g3363"
412,4,1.134,6.804,4.325,0.3557,0.0303010,"g4873 g3281 g1595 g4643"
413,9,0.5902,21.25,25.67,0.3273,0.0318449,"g4728 g0337 g3265 g2453 g2106 g0859 g0771 g1309 g0341"
414,11,0.3043,16.73,30.68,0.2411,0.299680,"g2254 g1861 g0825 g3112 g1779 g3631 g4869 g1545 g0478 g0379 g4498"
415,10,0.3539,15.93,16.49,0.3039,0.00289768,"g4961 g0075 g2118 g3801 g0418 g0875 g3841 g4909 g3701 g4121"
416,5,0.8011,8.011,10.55,0.2805,0.105038,"g0742 g2205 g0093 g0019 g4251"
417,10,0.4857,21.86,14.86,0.3854,0.00110111,"g3543 g2245 g4010 g0343 g1358 g3436 g1449 g1660 g0047 g2818"
418,4,1.882,11.29,11.26,0.3695,0.0151914,"g0023 g0463 g1558 g0535"
419,6,0.6248,9.372,12.72,0.2749,0.148977,"g0884 g1659 g0536 g0441 g3933 g4993"
420,18,0.3028,46.33,70.76,0.3026,0.0452596,"g0344 g3030 g4336 g2074 g4819 g1537 g4638 g2302 g0539 g0269 g0281 g2412 g4695 g2070 g0865 g0134 g3767 g2409"
421,5,1.027,10.27,11.18,0.3265,0.0300514,"g0502 g2137 g1931 g3244 g4106"
422,12,0.6559,43.29,24.72,0.4705,6.16725e-05,"g2807 g1301 g1979 g1679 g2192 g3528 g1105 g1696 g1802 g2752 g0325 g3971"
423,3,1.129,3.388,6.064,0.2192,0.500000,"g4967 g2488 g3548"
424,11,0.3113,17.12,22.07,0.2798,0.0575175,"g1775 g1255 g1669 g1909 g4178 g1472 g4770 g0007 g0015 g4760 g1174"
425,13,0.3052,23.81,47.96,0.2435,0.479550,"g2918 g3777 g2023 g4012 g4194 g4840 g0911 g0448 g4369 g3092 g0913 g0660 g2429"
426,5,0.8269,8.269,14.89,0.2493,0.338052,"g2135 g3936 g1736 g2660 g3154"
427,42,0.3018,259.9,37.58,0.6813,0.00000,"g1338 g0068 g0079 g0089 g0161 g0226 g0228 g0246 g0285 g0444 g0751 g0789 g0863 g0960 g1020 g1076 g1152 g1238 g1246 g1766 g1848 g1920 g2125 g2157 g2270 g2291 g2402 g2614 g2979 g3084 g3156 g3235 g4133 g4277 g4353 g4376 g4745 g4543 g4676 g4814 g4818 g4834"
428,4,1.183,7.095,7.754,0.3105,0.0561756,"g4000 g1771 g2896 g2998"
429,8,0.9215,25.80,5.069,0.5505,0.000679688,"g4610 g4846 g0045 g4860 g0691 g3706 g4094 g2249"
430,4,0.8099,4.859,12.07,0.1949,0.843839,"g2469 g4062 g2149 g1115"
431,4,0.8248,4.949,8.703,0.2286,0.557383,"g3913 g2109 g4497 g2040"
432,7,0.6815,14.31,16.16,0.3218,0.0204568,"g2457 g4788 g1953 g1459 g3616 g2043 g0696"
433,3,0.9293,2.788,3.953,0.2188,0.331260,"g1484 g1240 g1038"
434,7,0.6295,13.22,20.20,0.2788,0.125077,"g2617 g1018 g3495 g2067 g4894 g1780 g1494"
435,7,0.6163,12.94,9.295,0.3572,0.0149210,"g1001 g3687 g4378 g2406 g4691 g3914 g4674"
436,12,0.3193,21.07,27.05,0.2922,0.0442669,"g1764 g4450 g2430 g2002 g2297 g3421 g3491 g3342 g4479 g2829 g3589 g2904"
437,6,0.8915,13.37,24.55,0.2679,0.235585,"g2471 g3058 g4740 g1953 g4681 g4429"
438,7,0.9524,20.00,8.569,0.4698,0.00108251,"g2464 g1069 g2973 g1705 g3413 g3020 g4091"
439,6,0.6436,9.655,20.25,0.2304,0.531907,"g4758 g1960 g4112 g2849 g1847 g4442"
440,8,0.6885,19.28,16.65,0.3713,0.00370277,"g3035 g3911 g4107 g4101 g1074 g1803 g0564 g1707"
441,3,1.779,5.338,7.848,0.2782,0.0952151,"g0553 g2134 g1289"
442,7,0.6634,13.93,15.89,0.3179,0.0626005,"g2354 g4216 g4206 g0507 g4650 g3522 g0409"
443,6,0.5833,8.750,12.95,0.2596,0.0641026,"g1014 g3944 g0002 g3066 g4824 g3226"
444,10,0.3976,17.89,16.72,0.3276,0.00289768,"g2054 g3590 g1221 g0151 g2520 g1318 g3618 g0213 g0599 g1697"
445,11,0.3971,21.84,19.06,0.3472,0.00156372,"g2645 g0742 g0399 g3361 g0241 g0374 g3325 g2205 g0093 g0019 g4251"
446,6,0.7727,11.59,10.98,0.3353,0.0327761,"g1972 g3516 g3162 g0157 g4497 g1001"
447,6,0.7695,11.54,15.30,0.2972,0.0641026,"g3377 g3911 g3170 g1074 g1803 g3333"
448,10,0.3634,16.35,19.20,0.2944,0.0188177,"g3190 g2989 g2607 g0406 g0817 g0266 g1584 g0712 g4525 g0702"
449,14,0.4409,40.12,39.44,0.3730,0.00176324,"g2835 g3273 g4279 g2460 g1157 g4857 g2543 g1950 g3114 g2132 g1323 g0704 g3065 g4080"
450,5,0.6700,6.700,14.79,0.2128,0.500000,"g4694 g2835 g2308 g3065 g2417"
451,4,0.9337,5.602,11.21,0.2258,0.442617,"g4651 g3583 g3146 g2787"
452,10,0.6284,28.28,37.01,0.3316,0.0606123,"g4386 g1728 g4197 g1294 g3941 g3678 g0181 g0265 g0082 g1589"
453,4,0.8203,4.922,8.189,0.2331,0.235243,"g1024 g4716 g4530 g3770"
454,9,0.4815,17.34,17.02,0.3311,0.00309666,"g2700 g4273 g4925 g1014 g3944 g0002 g3066 g4824 g3226"
455,8,0.3909,10.94,12.82,0.2752,0.0202844,"g2485 g3222 g4050 g2505 g0152 g4022 g4546 g2684"
456,10,0.3765,16.94,38.95,0.2232,0.827648,"g2753 g0487 g3937 g3968 g0499 g2233 g4120 g0890 g3499 g0029"
457,9,0.5231,18.83,25.11,0.3040,0.0559807,"g0989 g2972 g1088 g4380 g4871 g3726 g2335 g3442 g2931"
458,3,0.9602,2.880,4.399,0.2169,0.331260,"g0530 g4030 g2459"
459,7,0.6212,13.05,15.54,0.3064,0.0368191,"g1718 g3181 g3377 g3911 g1074 g1803 g3333"
460,4,0.7787,4.672,3.017,0.2978,0.0151914,"g1567 g0845 g0298 g0988"
461,7,0.5451,11.45,16.05,0.2759,0.0368191,"g2989 g2682 g3699 g2822 g0275 g0817 g2779"
462,4,0.9970,5.982,10.73,0.2421,0.442617,"g2111 g1114 g3456 g4921"
463,10,0.5291,23.81,31.15,0.3177,0.0520549,"g2527 g0969 g3383 g1542 g4156 g0645 g0056 g1106 g1073 g3649"
464,5,1.029,10.29,6.997,0.3771,0.0107859,"g1881 g4718 g3774 g2728 g4754"
465,5,0.8923,8.923,13.94,0.2715,0.500000,"g4130 g1347 g3385 g3373 g3887"
466,4,0.7022,4.213,7.640,0.2122,0.442617,"g3872 g1738 g0778 g0998"
467,6,0.3856,5.783,9.505,0.2119,0.287587,"g2694 g4348 g3576 g4141 g4180 g1326"
468,4,0.4574,2.745,5.905,0.1648,0.442617,"g3947 g3512 g1244 g1652"
469,4,0.7365,4.419,9.399,0.2025,0.557383,"g3793 g3757 g2112 g0020"
470,3,1.139,3.416,2.115,0.2963,0.0952151,"g3458 g4635 g2677"
471,9,0.4290,15.45,25.54,0.2619,0.188612,"g2195 g0736 g1532 g4846 g1735 g4005 g1559 g3171 g3074"
472,3,0.8475,2.542,6.502,0.1690,0.808633,"g0763 g4073 g0523"
473,4,0.8445,5.067,7.698,0.2440,0.235243,"g4673 g4891 g1845 g3903"
474,10,0.5040,22.68,14.24,0.3985,0.000384270,"g3035 g1947 g2667 g4107 g4979 g3380 g3879 g4101 g0564 g1707"
475,12,0.3314,21.87,37.96,0.2609,0.272185,"g2471 g3058 g4740 g4429 g1961 g0152 g1466 g0466 g1291 g4022 g3297 g3892"
476,9,0.6045,21.76,22.79,0.3479,0.0108421,"g0953 g3526 g1982 g1781 g2899 g3356 g3362 g1415 g1399"
477,4,1.466,8.798,4.619,0.4108,0.0561756,"g0949 g1573 g4253 g2220"
478,6,0.6710,10.07,20.33,0.2374,0.531907,"g2380 g2104 g2655 g3480 g4794 g3187"
479,5,1.005,10.05,24.30,0.2267,0.734565,"g0624 g1981 g2025 g2167 g0108"
480,7,0.4594,9.647,7.532,0.3094,0.0204568,"g4673 g4891 g0839 g2237 g3547 g3903 g0290"
481,5,1.098,10.98,21.50,0.2585,0.582734,"g2167 g1075 g4185 g4283 g3300"
482,5,0.6348,6.348,7.049,0.2713,0.0473465,"g1881 g4718 g0977 g0440 g1678"
483,3,0.9132,2.740,4.884,0.2011,0.500000,"g0842 g0738 g2021"
484,9,0.4046,14.57,11.02,0.3342,0.00133986,"g4714 g2118 g4219 g3417 g4909 g3223 g3701 g4121 g3044"
485,3,1.332,3.997,3.738,0.2910,0.191367,"g0572 g3986 g3177"
486,5,0.6869,6.869,7.059,0.2871,0.105038,"g4530 g2910 g1855 g0395 g3879"
487,3,0.9311,2.793,4.977,0.2029,0.668740,"g4479 g2829 g2714"
488,10,0.3982,17.92,20.61,0.3061,0.0128740,"g0358 g1718 g3181 g3377 g3911 g1074 g3339 g4035 g1803 g3333"
489,5,0.5154,5.154,8.959,0.2138,0.338052,"g0712 g4525 g4073 g0523 g0878"
490,3,1.015,3.046,2.537,0.2629,0.0952151,"g0126 g3719 g3841"
