run	condition	tissue
MeJA_Control-1h_2	MeJA_Control-1h_L	Leaf
MeJA_Control-1h_3	MeJA_Control-1h_L	Leaf
MeJA_Control-1h_4	MeJA_Control-1h_L	Leaf
MeJA_Control-1h_5	MeJA_Control-1h_L	Leaf
MeJA_Control-4h_1	MeJA_Control-4h_L	Leaf
MeJA_Control-4h_2	MeJA_Control-4h_L	Leaf
MeJA_Control-4h_3	MeJA_Control-4h_L	Leaf
MeJA_Control-4h_4	MeJA_Control-4h_L	Leaf
MeJA_Control-4h_5	MeJA_Control-4h_L	Leaf
MeJA_Control-8h_1	MeJA_Control-8h_L	Leaf
MeJA_Control-8h_2	MeJA_Control-8h_L	Leaf
MeJA_Control-8h_3	MeJA_Control-8h_L	Leaf
MeJA_Control-8h_4	MeJA_Control-8h_L	Leaf
MeJA_Control-8h_5	MeJA_Control-8h_L	Leaf
MeJA_Control-24h_1	MeJA_Control-24h_L	Leaf
MeJA_Control-24h_2	MeJA_Control-24h_L	Leaf
MeJA_Control-24h_3	MeJA_Control-24h_L	Leaf
MeJA_Control-24h_4	MeJA_Control-24h_L	Leaf
MeJA_Control-24h_5	MeJA_Control-24h_L	Leaf
MeJA_Control-48h_1	MeJA_Control-48h_L	Leaf
MeJA_Control-48h_2	MeJA_Control-48h_L	Leaf
MeJA_Control-48h_3	MeJA_Control-48h_L	Leaf
Salt_Control_AC_2_L	Salt_Control_AC_L	Leaf
Salt_Control_AC_4_L	Salt_Control_AC_L	Leaf
Salt_Control_AC_5_L	Salt_Control_AC_L	Leaf
Cold_Control_AC_1_L	Cold_Control_AC_L	Leaf
Cold_Control_AC_2_L	Cold_Control_AC_L	Leaf
Cold_Control_AC_3_L	Cold_Control_AC_L	Leaf
Salt_Control_AC_1_S	Salt_Control_AC_S	Shoot
Salt_Control_AC_2_S	Salt_Control_AC_S	Shoot
Salt_Control_AC_3_S	Salt_Control_AC_S	Shoot
Salt_Control_AC_4_S	Salt_Control_AC_S	Shoot
Salt_Control_AC_5_S	Salt_Control_AC_S	Shoot
Cold_Control_AC_5_L	Cold_Control_AC_L	Leaf
Salt_10mM_AC_1_L	Salt_10mM_AC_L	Leaf
Salt_10mM_AC_2_L	Salt_10mM_AC_L	Leaf
Salt_10mM_AC_4_L	Salt_10mM_AC_L	Leaf
Salt_10mM_AC_5_L	Salt_10mM_AC_L	Leaf
Cold_Control_AC_1_S	Cold_Control_AC_S	Shoot
Cold_Control_AC_2_S	Cold_Control_AC_S	Shoot
Cold_Control_AC_3_S	Cold_Control_AC_S	Shoot
Salt_10mM_AC_1_S	Salt_10mM_AC_S	Shoot
Salt_10mM_AC_2_S	Salt_10mM_AC_S	Shoot
Cold_Control_AC_4_S	Cold_Control_AC_S	Shoot
Cold_Control_AC_5_S	Cold_Control_AC_S	Shoot
Salt_100mM_AC_1_L	Salt_100mM_AC_L	Leaf
Salt_100mM_AC_2_L	Salt_100mM_AC_L	Leaf
Salt_100mM_AC_3_L	Salt_100mM_AC_L	Leaf
Salt_100mM_AC_4_L	Salt_100mM_AC_L	Leaf
Salt_100mM_AC_5_L	Salt_100mM_AC_L	Leaf
Cold_17C_AC_1_L	Cold_17C_AC_L	Leaf
Cold_17C_AC_2_L	Cold_17C_AC_L	Leaf
Cold_17C_AC_3_L	Cold_17C_AC_L	Leaf
Salt_100mM_AC_1_S	Salt_100mM_AC_S	Shoot
Salt_100mM_AC_2_S	Salt_100mM_AC_S	Shoot
Salt_100mM_AC_3_S	Salt_100mM_AC_S	Shoot
Salt_100mM_AC_4_S	Salt_100mM_AC_S	Shoot
Salt_100mM_AC_5_S	Salt_100mM_AC_S	Shoot
Cold_17C_AC_4_L	Cold_17C_AC_L	Leaf
Cold_17C_AC_5_L	Cold_17C_AC_L	Leaf
Salt_Control_NAC_1_L	Salt_Control_NAC_L	Leaf
Salt_Control_NAC_2_L	Salt_Control_NAC_L	Leaf
Salt_Control_NAC_3_L	Salt_Control_NAC_L	Leaf
Salt_Control_NAC_4_L	Salt_Control_NAC_L	Leaf
Salt_Control_NAC_5_L	Salt_Control_NAC_L	Leaf
Cold_17C_AC_1_S	Cold_17C_AC_S	Shoot
Cold_17C_AC_2_S	Cold_17C_AC_S	Shoot
Cold_17C_AC_3_S	Cold_17C_AC_S	Shoot
Salt_Control_NAC_1_S	Salt_Control_NAC_S	Shoot
Salt_Control_NAC_2_S	Salt_Control_NAC_S	Shoot
Salt_Control_NAC_3_S	Salt_Control_NAC_S	Shoot
Salt_Control_NAC_4_S	Salt_Control_NAC_S	Shoot
Salt_Control_NAC_5_S	Salt_Control_NAC_S	Shoot
Cold_17C_AC_4_S	Cold_17C_AC_S	Shoot
Cold_17C_AC_5_S	Cold_17C_AC_S	Shoot
Salt_10mM_NAC_1_L	Salt_10mM_NAC_L	Leaf
Salt_10mM_NAC_2_L	Salt_10mM_NAC_L	Leaf
Salt_10mM_NAC_3_L	Salt_10mM_NAC_L	Leaf
Salt_10mM_NAC_4_L	Salt_10mM_NAC_L	Leaf
Salt_10mM_NAC_5_L	Salt_10mM_NAC_L	Leaf
Cold_Control_NAC_1_L	Cold_Control_NAC_L	Leaf
Cold_Control_NAC_2_L	Cold_Control_NAC_L	Leaf
